 17 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; VF-XF ; 25 ; Горюн ; 5105 
 18 ; Рубль ; 1812 ; СПБ МФ ; Ag ; VF-XF ; 10 ; ksv11 ; 5200 
 19 ; Рубль ; 1813 ; СПБ ПС ; Ag ; AU ; 19 ; Продано в зале ; 16000 
 20 ; Рубль ; 1814 ; СПБ МФ ; Ag ; VF-XF ; 16 ; Продано в зале ; 4000 
 21 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 13 ; Продано в зале ; 14000 
 22 ; Рубль ; 1822 ; СПБ ПД ; Ag ; XF ; 11 ; Продано в зале ; 5500 
 23 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF+ ; 22 ; 186500 ; 4000 
 24 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF/XF- ; 29 ; Продано в зале ; 9000 
 25 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF+ ; 46 ; tisa66 ; 60000 
 26 ; Рубль ; 1879 ; СПБ НФ ; Ag ; VF-XF ; 18 ; Продано в зале ; 11500 
 27 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF ; 12 ; Продано в зале ; 15500 
 28 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 7 ; 654321 ; 12500 
 29 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; VF-XF ; 24 ; Sky2 ; 91800 
 30 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 35 ; Продано в зале ; 12500 
 31 ; Рубль ; 1914 ; На 200-летие гангутского сражения ; Ag ; AU ; 73 ; Продано в зале ; 430000 
 32 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 16 ; icebreaker ; 21300 
 33 ; Полтина (Ильин-3р) ; 1833 ; СПБ НГ ; Ag ; VF+ ; 20 ; igors1969 ; 15606 
 34 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 11 ; Олег2401 ; 6911 
 35 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF/AU ; 29 ; Продано в зале ; 5000 
 36 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 7500 
 37 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; VF+ ; 15 ; ВС ; 9126 
 38 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; VF-XF ; 31 ; Горюн ; 17391 
 39 ; Полуполтинник ; 1799 ; СМ МБ ; Ag ; VF+ ; 37 ; Горюн ; 34000 
 40 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF- ; 13 ; OMT ; 9982 
 41 ; 25 копеек ; 1832 ; СПБ НГ ; Ag ; VF+ ; 25 ; Горюн ; 4000 
 42 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 29 ; Горюн ; 7300 
 43 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; XF ; 25 ; verunk1 ; 4800 
 44 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 13 ; Горюн ; 4600 
 45 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; VF-XF ; 11 ; igors1969 ; 4927 
 46 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 36 ; serg2010 ; 4038 
 47 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; XF ; 45 ; verunk1 ; 10557 
 48 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 31 ; OMT ; 9150 
 49 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 20 ; verunk1 ; 3739 
 50 ; 25 копеек ; 1851 ; СПБ ПА ; Ag ; XF ; 23 ; lelic ; 3628 
