 6446 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 54 ; Бигль ; 297 
 6447 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 6 ; Бигль ; 114 
 6448 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 10 ; Meshok ; 261 
 6449 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 31 ; vborisevich1 ; 114 
 6450 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 11 ; Meshok ; 92 
 6451 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 49 ; foxmuld ; 95 
 6452 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 25 ; $круджЪ ; 141 
 6453 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 42 ; bsi-pg ; 134 
 6454 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 48 ; 01020304 ; 137 
 6455 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 14 ; arusakov02 ; 153 
 6456 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 26 ; mix_mix5982 ; 143 
 6457 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 54 ; xres ; 137 
 6458 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 19 ; SeregaHot ; 255 
 6459 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 19 ; zmike1869 ; 138 
 6460 ; Каталог-справочник. Монеты Киргизии, Таджикистана, Туркменистана и Узбекистана. Редакция 1, 2019 год ;  ;  ;  ;  ; 18 ; дилитант ; 69 
 6461 ; Клады в вашем доме. 2009 год ;  ;  ;  ;  ; 6 ; Anty152 ; 56 
 6462 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 22 ; yuve ; 359 
 6463 ; Каталог-справочник. Монеты Беларуси 1996-2013 гг. Редакция 4, 2013 год ;  ;  ;  ;  ; 20 ; glad447 ; 74 
 6324 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; Рисковый ; 65 
 6325 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; Рисковый ; 65 
 6326 ; Почтовая карточка ;  ;  ;  ;  ; 12 ; Gagarin ; 113 
 6327 ; Почтовая карточка. Вера ;  ;  ;  ;  ; 15 ; Инструктор ; 118 
 6328 ; Почтовая карточка ;  ;  ;  ;  ; 15 ; Рисковый ; 65 
 6329 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; Рисковый ; 60 
 6330 ; Почтовая карточка. Океан вечером ;  ;  ;  ;  ; 12 ; Varco ; 90 
 6331 ; Почтовая карточка ;  ;  ;  ;  ; 10 ; Рисковый ; 102 
 6332 ; Почтовая карточка. Артистка балета М. Любомудрова ;  ;  ;  ;  ; 12 ; Инструктор ; 108 
 6333 ; Почтовая карточка ;  ;  ;  ;  ; 14 ; val_diver ; 128 
 6334 ; Почтовая карточка ;  ;  ;  ;  ; 16 ; Varco ; 118 
 6335 ; Почтовая карточка. Толстой в поле ;  ;  ;  ;  ; 13 ; Рисковый ; 85 
 6336 ; Почтовая карточка ;  ;  ;  ;  ; 13 ; Рисковый ; 85 
 6337 ; Почтовая карточка. В.А. Миронова ;  ;  ;  ;  ; 7 ; Инструктор ; 77 
