 211 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF+ ; 24 ; Участник № 1177 ; 10000 
 212 ; Полтина ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 52 ; Участник № 6 ; 19000 
 213 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; XF ; 15 ; dimon46 ; 1900 
 214 ; 5 копеек (Петров-2р) ; 1831 ; ЕМ ; Cu ; VF-XF ; 51 ; SАП ; 10302 
 215 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 27 ; Участник № 410 ; 6500 
 216 ; 5 злотых ; 1832 ; KG Польша ; Ag ; VF-XF ; 23 ; SАП ; 11232 
 217 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; AU ; 21 ; Участник № 147 ; 5500 
 218 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF+ ; 19 ; Участник № 30 ; 2200 
 219 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 18 ; Участник № 523 ; 650 
 220 ; 3/4 рубля-5 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; VF ; 34 ; TDN ; 2345 
 221 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 41 ; Участник № 133 ; 7500 
 222 ; Рубль ; 1834 ; СПБ НГ ; Ag ; VF-XF ; 30 ; Участник № 1 ; 4000 
 223 ; 3 рубля-20 злотых. М-3,95г ; 1835 ; СПБ ПД Рус.-Пол. ; Au ; XF- ; 15 ; boroda ; 61200 
 224 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; VF+ ; 45 ; TDN ; 9714 
 225 ; 30 копеек-2 злотых ; 1835 ; MW Рус.-Пол. ; Ag ; VF-XF ; 24 ; Sky2 ; 1413 
 226 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 16 ; ААФ ; 1501 
 227 ; 10 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF- ; 37 ; Участник № 30 ; 13000 
 228 ; 3/4 рубля-5 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; F-VF ; 10 ; Sky2 ; 1694 
 229 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF- ; 24 ; SАП ; 14000 
 230 ; 1,5 рубля-10 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 14 ; Участник № 6 ; 9500 
 231 ; Рубль ; 1837 ; СПБ НГ ; Ag ; VF+ ; 38 ; partanen ; 8550 
 232 ; 30 копеек-2 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 26 ; SАП ; 2011 
 233 ; 5 копеек (Ильин-5р) ; 1837 ; ЕМ ФХ ; Cu ; F-VF ; 8 ; Участник № 51 ; 3200 
 234 ; Копейка (Петров-2р, Ильин-3р) ; 1837 ; ЕМ НА ; Cu ; VF ; 27 ; Участник № 523 ; 4200 
 235 ; 3/4 рубля-5 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; VF-XF ; 11 ; o.k. ; 2091 
 236 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 23 ; Участник № 567 ; 1100 
 237 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 23 ; ZOLTAN333 ; 2600 
 238 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF+ ; 7 ; ААФ ; 1479 
