 5501 ; 10 марок ГДР ; 1964 ;  ;  ;  ; 32 ; Elephant ; 340 
 5502 ; 5 марок ГДР ; 1975 ;  ;  ; AU ; 29 ; Elephant ; 345 
 5503 ; 10 марок ГДР ; 1971 ;  ;  ; AU ; 15 ; Andreyspb ; 308 
 5504 ; 20 марок ГДР ; 1975 ;  ;  ;  ; 26 ; Elephant ; 270 
 5505 ; 50 марок ГДР ; 1975 ;  ;  ;  ; 35 ; Elephant ; 321 
 5506 ; 100 марок ГДР ; 1975 ;  ;  ;  ; 79 ; Hamlet ; 359 
 5507 ; Товарный чек 50 пфеннигов ГДР ; 1979 ;  ;  ;  ; 17 ; Майкл ; 259 
 5508 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 16 ; Атлантик ; 123 
 5509 ; Бона иностранная Кипр ; 1982 ;  ;  ;  ; 24 ; volkova21 ; 355 
 5510 ; Лот бон Беларусь 3 шт ; 2000 ;  ;  ; AU ; 22 ; халява ; 45 
 5511 ; Лот бон Беларусь 3 шт ; 1994-2000 ;  ;  ;  ; 40 ; халява ; 71 
 5512 ; Лот бон Приднестровья 4 шт ; 1993 ;  ;  ; AU ; 25 ; Olimpia ; 575 
 5513 ; Лот бон Приднестровья 4 шт ; 1994-98 ;  ;  ; AU ; 52 ; Sky2 ; 407 
 5514 ; 50000 рублей Приднестровье ; 1995 ;  ;  ; AU ; 35 ; Sky2 ; 463 
 5515 ; 500 тенге Казахстан ;  ;  ;  ;  ; 59 ; ashep ; 385 
 5516 ; 3 кроны Чехословакия ; 1953 ;  ;  ;  ; 22 ; DBA123 ; 63 
 5517 ; 100 крон Чехословакия ; 1961 ;  ;  ;  ; 27 ; DBA123 ; 313 
 5518 ; 100 крон Чехословакия ; 1989 ;  ;  ;  ; 32 ; Lex2000 ; 174 
 5519 ; Бона иностранная Китай ; 1995 ;  ;  ;  ; 3 ; maks169 ; 101 
 5520 ; 1 динар Иордания ; 2011 ;  ;  ; AU ; 50 ; CASABLANCA ; 153 
 5521 ; Бона иностранная Сомали ; 1980 ;  ;  ;  ; 37 ; Жигурда ; 692 
 5522 ; Бона иностранная Тонга ; 1975 ;  ;  ; AU ; 28 ; sifirot ; 641 
 5523 ; Бона иностранная Тонга ; 1986 ;  ;  ;  ; 11 ; smel ; 320 
 5524 ; Бона иностранная Тонга ; 1967 ;  ;  ;  ; 33 ; stabah ; 1377 
 5525 ; Бона иностранная Танзания ;  ;  ;  ;  ; 21 ; 2128508 ; 93 
 5526 ; Бона иностранная Танзания ;  ;  ;  ;  ; 15 ; 2128508 ; 111 
 5527 ; Бона иностранная Танзания ;  ;  ;  ;  ; 26 ; CASABLANCA ; 157 
 5428 ; 50 крон Чехословакия ;  ;  ;  ;  ; 17 ; alesjane ; 114 
 5429 ; 50 крон Чехословакия ; 1964 ;  ;  ;  ; 58 ; Атлантик ; 378 
 5430 ; 20 крон Словакия ;  ;  ;  ;  ; 33 ; Maxim914 ; 157 
 5431 ; 10 крон Чехословакия ; 1986 ;  ;  ;  ; 11 ; sheriff 0 ; 37 
 5432 ; Лот бон Словакия 2 шт ;  ;  ;  ;  ; 25 ; alesjane ; 224 
 5433 ; Бона иностранная. Польша ;  ;  ;  ;  ; 9 ; Вадим Скифский ; 101 
 5434 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; 1gold ; 126 
 5435 ; Бона иностранная. Польша ;  ;  ;  ;  ; 22 ; Мурзик ; 184 
 5436 ; Бона иностранная. Польша ;  ;  ;  ;  ; 20 ; Вадим Скифский ; 142 
 5437 ; Бона иностранная. Польша ;  ;  ;  ;  ; 13 ; Мурзик ; 227 
 5438 ; Бона иностранная. Польша ;  ;  ;  ;  ; 14 ; alesjane ; 646 
 5439 ; Бона иностранная. Польша ;  ;  ;  ;  ; 12 ; cochu ; 104 
 5440 ; Бона иностранная. Польша ;  ;  ;  ;  ; 25 ; архыз ; 328 
 5441 ; 5 злотых Польша ; 1948 ;  ;  ;  ; 33 ; alesjane ; 171 
 5442 ; 10 злотых Польша ; 1982 ;  ;  ; AU ; 48 ; Sky2 ; 199 
 5443 ; 1 лей Румыния ;  ;  ;  ;  ; 10 ; pref ; 31 
 5444 ; 10 лей Румыния ;  ;  ;  ;  ; 11 ; pref ; 34 
 5445 ; 1 крона Швеция ; 1873 ;  ;  ;  ; 19 ; Ssid ; 227 
 5446 ; 10 крон Швеция ; 1968 ;  ;  ;  ; 33 ; pref ; 80 
 5447 ; 5 крон Исландия ; 1957 ;  ;  ;  ; 26 ; Вадим Скифский ; 101 
 5448 ; 10 крон Исландия ; 1957 ;  ;  ; AU ; 23 ; volkova21 ; 737 
 5449 ; 10 крон Исландия ; 1961 ;  ;  ; AU ; 23 ; volkova21 ; 208 
 5450 ; 100 крон Исландия ; 1961 ;  ;  ; AU ; 18 ; volkova21 ; 398 
 5451 ; 50 крон Фарерские о-ва ;  ;  ;  ; AU ; 107 ; Lex2000 ; 1030 
 5452 ; 10 крон Фарерские о-ва ;  ;  ;  ; AU ; 57 ; Lex2000 ; 952 
 5453 ; 100 крон Дания ;  ;  ;  ;  ; 33 ; doc2 ; 793 
 5454 ; 1 крона Дания ; 1914 ;  ;  ;  ; 45 ; Lex2000 ; 320 
 5455 ; 20 крон Дания ; 1972 ;  ;  ;  ; 17 ; pref ; 144 
 5456 ; 10 крон Дания ; 1936 ;  ;  ;  ; 18 ; alesjane ; 140 
 5457 ; 5 марок Финляндия ; 1963 ;  ;  ;  ; 18 ; CASABLANCA ; 104 
 5458 ; 10 марок Финляндия ; 1963 ;  ;  ;  ; 33 ; Lex2000 ; 342 
 5459 ; 10 марок Финляндия ; 1980 ;  ;  ;  ; 13 ; Lex2000 ; 179 
 5460 ; 10 марок Финляндия ; 1986 ;  ;  ;  ; 23 ; Lex2000 ; 147 
 5461 ; 50 марок Финляндия ; 1986 ;  ;  ; AU ; 28 ; Lex2000 ; 1504 
 5462 ; 100 марок Финляндия ; 1986 ;  ;  ;  ; 92 ; student1977 ; 1275 
 5463 ; 5 крон Эстония ; 1991 ;  ;  ; AU ; 52 ; Lex2000 ; 533 
 5464 ; 10 крон Эстония ; 1991 ;  ;  ; AU ; 27 ; Lex2000 ; 396 
 5465 ; Бона иностранная Литва ; 1991 ;  ;  ;  ; 30 ; uhfvv7 ; 163 
 5466 ; 5 лир Италия ;  ;  ;  ;  ; 8 ; Атлантик ; 34 
 5467 ; 10000 лир Италия ;  ;  ;  ;  ; 44 ; salim ; 153 
 5468 ; 10000 лир Италия ;  ;  ;  ;  ; 20 ; salim ; 211 
 5469 ; 2000 лир Италия ;  ;  ;  ;  ; 73 ; salim ; 227 
 5470 ; 1000 лир Италия ;  ;  ;  ;  ; 32 ; Lex2000 ; 179 
 5471 ; 500 лир Италия ;  ;  ;  ;  ; 11 ; Атлантик ; 31 
 5472 ; 1000 лир Италия ;  ;  ;  ;  ; 20 ; CASABLANCA ; 114 
 5473 ; 50 шиллингов Австрия ; 1970 ;  ;  ;  ; 53 ; Lex2000 ; 138 
 5474 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 8 ; vfuflfy49 ; 90 
 5475 ; Лот бон Венгрия 5 шт ;  ;  ;  ;  ; 13 ; Вадим Скифский ; 306 
 5476 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 30 ; stabah ; 1042 
 5477 ; 1 крона Австрия ; 1916 ;  ;  ;  ; 28 ; valery2010f ; 128 
 5378 ; 25 рупий  Индонезия ; 1959 ;  ;  ; AU ; 37 ; Slava O ; 305 
 5379 ; 100 рупий  Индонезия ; 1964 ;  ;  ; AU ; 24 ; Slava O ; 303 
 5380 ; 1000 рупий Индонезия ; 1987 ;  ;  ; AU ; 17 ; CASABLANCA ; 117 
 5381 ; 1000 рупий Индонезия ; 1980 ;  ;  ;  ; 48 ; ufa ; 114 
 5382 ; Бона иностранная Эфиопия ;  ;  ;  ;  ; 38 ; Lex2000 ; 276 
 5383 ; Бона иностранная Эфиопия ;  ;  ;  ;  ; 20 ; alesjane ; 692 
 5384 ; Бона иностранная Гондурас ; 1989 ;  ;  ; AU ; 25 ; alesjane ; 117 
 5385 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 35 ; халява ; 324 
 5386 ; Бона иностранная Сальвадор ;  ;  ;  ; AU ; 42 ; archy ; 717 
 5387 ; Бона иностранная Сальвадор ;  ;  ;  ; AU ; 32 ; archy ; 725 
 5388 ; Бона иностранная Нигерия ;  ;  ;  ; AU ; 16 ; sifirot ; 217 
 5389 ; Бона иностранная Нигерия ;  ;  ;  ; AU ; 27 ; alesjane ; 99 
 5390 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 7 ; Моряк-собиратель ; 61 
 5391 ; Бона иностранная Малави ; 1990 ;  ;  ; AU ; 56 ; valery2010f ; 158 
 5392 ; Бона иностранная Мадагаскар ;  ;  ;  ;  ; 33 ; Моряк-собиратель ; 294 
 5393 ; Бона иностранная Мадагаскар ;  ;  ;  ; AU ; 40 ; Lex2000 ; 1018 
 5394 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 39 ; Andreyspb ; 120 
 5395 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 12 ; pelmen761 ; 125 
 5396 ; Бона иностранная Уругвай ; 1986 ;  ;  ; AU ; 46 ; vlad77 ; 163 
 5397 ; Бона иностранная Уругвай ;  ;  ;  ; AU ; 18 ; CASABLANCA ; 123 
 5398 ; Бона иностранная Уругвай ;  ;  ;  ; AU ; 17 ; xxxl ; 91 
 5399 ; Бона иностранная Уругвай ;  ;  ;  ; AU ; 12 ; Chacabuco ; 104 
 5400 ; Бона иностранная Уругвай ;  ;  ;  ; AU ; 12 ; pelmen761 ; 120 
 5401 ; 5 марок Германия ; 1948 ;  ;  ;  ; 32 ; Lex2000 ; 1003 
 5402 ; 1 марка Германия ; 1948 ;  ;  ;  ; 35 ; uhfvv7 ; 159 
 5403 ; 100 марок Германия ; 1924 ;  ;  ; XF ; 50 ; Alekss_27 ; 521 
 5404 ; 5 марок Германия ;  ;  ;  ;  ; 40 ; Атлантик ; 172 
 5405 ; 10 марок Германия ; 1929 ;  ;  ;  ; 27 ; Атлантик ; 206 
 5406 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 37 ; uhfvv7 ; 108 
 5407 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 8 ; Вадим Скифский ; 33 
 5408 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 58 ; G-O-R ; 255 
 5409 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 57 ; трутень ; 648 
 5410 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 9 ; smel ; 199 
 5411 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 8 ; vladmarkin ; 83 
 5412 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 43 ; valery2010f ; 669 
 5413 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 8 ; cr3041 ; 359 
 5414 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 6 ; cr3041 ; 359 
 5415 ; Лот нотгельдов Германия, Австрия 30 шт ;  ;  ;  ;  ; 29 ; Жигурда ; 1526 
 5416 ; Нотгельд Германия ;  ;  ;  ;  ; 25 ; vladmarkin ; 92 
 5417 ; Нотгельд Германия ;  ;  ;  ;  ; 22 ; Атлантик ; 107 
 5418 ; 500 миллионов марок Сопот/Гданьск ; 1923 ;  ;  ; AU ; 31 ; Ok203 ; 1022 
 5419 ; Нотгельд Австрия. Дерево ;  ;  ;  ;  ; 4 ; Sky2 ; 567 
 5420 ; Бона иностранная. Испания ;  ;  ;  ;  ; 11 ; Вадим Скифский ; 201 
 5421 ; 500 песет Испания ; 1971 ;  ;  ;  ; 44 ; Lex2000 ; 781 
 5422 ; 100 песет Испания ; 1965 ;  ;  ; AU ; 51 ; sifirot ; 777 
 5423 ; 100 песет Испания ; 1970 ;  ;  ;  ; 22 ; CASABLANCA ; 68 
 5424 ; 1 песета Испания ; 1953 ;  ;  ;  ; 9 ; Sky2 ; 54 
 5425 ; 500 песет Испания ; 1979 ;  ;  ; AU ; 43 ; Lex2000 ; 803 
 5426 ; 200 песет Испания ; 1980 ;  ;  ;  ; 67 ; архыз ; 567 
 5427 ; 1000 песет Испания ; 1992 ;  ;  ; AU ; 51 ; sifirot ; 996 
 5328 ; Лот бон Франция 20 штук в листе ;  ;  ;  ;  ; 36 ; volkova21 ; 3851 
 5329 ; Бона иностранная Франция ;  ;  ;  ;  ; 43 ; volkova21 ; 694 
 5330 ; Бона иностранная Франция ;  ;  ;  ;  ; 56 ; Ok203 ; 565 
 5331 ; 1000 эскудо Португалия ; 1980 ;  ;  ;  ; 27 ; ufa ; 301 
 5332 ; 100 эскудо Португалия ; 1965 ;  ;  ;  ; 20 ; Jon Snow ; 102 
 5333 ; 100 эскудо Португалия ; 1987 ;  ;  ;  ; 15 ; Вадим Скифский ; 51 
 5334 ; 100 крон Швеция ; 1980 ;  ;  ;  ; 17 ; smel ; 567 
 5335 ; 10 крон Швеция ; 1985 ;  ;  ;  ; 9 ; vfuflfy49 ; 63 
 5336 ; 10 крон Швеция ; 1981 ;  ;  ;  ; 15 ; Хромосян ; 64 
 5337 ; 5 крон Швеция ; 1981 ;  ;  ; AU ; 23 ; Lex2000 ; 192 
 5338 ; 10 франков Швейцария ; 1958 ;  ;  ;  ; 46 ; alesjane ; 379 
