 101 ; А. В. Орешников. Денежные знаки домонгольской Руси. Выпуск шестой ;  ;  ;  ;  ; 26 ; cr3131 ; 1000 
 34 ; 20 копеек ; 1917 ; ВС ; Ag ; XF+ ; 35 ; Reichard ; 32640 
 35 ; 15 копеек ; 1764 ; ММД ; Ag ; VF-XF ; 30 ; icebreaker ; 15785 
 36 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 15 ; Sky2 ; 2600 
 37 ; 15 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 48 ; Продано в зале ; 3200 
 38 ; 15 копеек ; 1917 ; ВС ; Ag ; XF+/AU ; 25 ; Reichard ; 6500 
 39 ; Гривенник ; 1746 ;  ; Ag ; XF ; 66 ; -$$$- ; 12000 
 40 ; Гривенник. В капсуле RNGA ; 1748 ;  ; Ag ;  ; 54 ; electra ; 6250 
 41 ; Гривенник ; 1783 ; СПБ ; Ag ; XF+ ; 19 ; icebreaker ; 5106 
 42 ; Гривенник ; 1794 ; СПБ ; Ag ; XF ; 45 ; Продано в зале ; 12000 
 43 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF ; 29 ; обморок ; 3200 
 44 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; VF-XF ; 47 ; max96 ; 2654 
 45 ; 10 копеек (Петров-4р, Ильин-4р) ; 1825 ; СПБ НГ ; Ag ; VF-XF ; 57 ; Продано в зале ; 11000 
 46 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF- ; 52 ; Лидер ; 2000 
 47 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF ; 28 ; snupi ; 2200 
 48 ; 10 копеек. Капсула NGC ; 1855 ; СПБ HI ; Ag ;  ; 20 ; snupi ; 2200 
 49 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 15 ; ААФ ; 1326 
 50 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; Reichard ; 7250 
