 114 ; 1/2 копейки ; 1845 ; СМ ; Cu ; XF+ ; 24 ; vcn ; 2400 
 115 ; Денежка ; 1850 ; ЕМ ; Cu ; XF ; 17 ; ksv11 ; 2800 
 116 ; Денежка ; 1852 ; ЕМ ; Cu ; XF+ ; 13 ; Продано в зале ; 1000 
 117 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 22 ; Продано в зале ; 1800 
 118 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 21 ; unless ; 1848 
 119 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 16 ; igors1969 ; 7142 
 120 ; Полушка ; 1707 ;  ; Cu ; F-VF ; 30 ; Продано в зале ; 3400 
 121 ; Полушка ; 171? ;  ; Cu ; VF+ ; 15 ; Продано в зале ; 2800 
 122 ; Полушка. Инкузный след ; 1719 ;  ; Cu ; F+ ; 27 ; Продано в зале ; 2600 
 123 ; Полушка (Петров-3р) ; 1767 ; КМ "Сибирь" ; Cu ; F-VF ; 15 ; SSK ; 1836 
 124 ; Полушка (Ильин-3р) ; 1783 ; КМ ; Cu ; VF ; 24 ; corr ; 3174 
 125 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU ; 39 ; Basilio ; 950 
 126 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 55 ; Продано в зале ; 2300 
 127 ; 10 пенни ; 1911 ; Финляндия ; Cu ; AU ; 34 ; Продано в зале ; 5600 
 128 ; Медаль. В память Крымской войны (1853-1856). D-28мм ;  ;  ; Ж/м ; VF-XF ; 12 ; Продано в зале ; 1500 
