 5612 ; Бона иностранная ;  ;  ;  ;  ; 9 ; heavy_fly ; 67 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 5 ; газета ; 61 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 71 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 71 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 18 ; smel ; 276 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 13 ; doc2 ; 285 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alesjane ; 104 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 8 ; трутень ; 115 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 50 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alesjane ; 124 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 5 ; doc2 ; 101 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Darik75 ; 101 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 13 ; alesjane ; 170 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Darik75 ; 101 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Darik75 ; 101 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 7 ; FoxSF ; 39 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 13 ; FoxSF ; 31 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 69 ; Рубчик ; 305 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alesjane ; 112 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 333985 ; 191 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 12 ; maximilian2204 ; 515 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 23 ; veselkov ; 169 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 13 ; FoxSF ; 91 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alesjane ; 47 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Mike! ; 191 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 16 ; я8844 ; 79 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 7 ; FoxSF ; 89 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Mike! ; 152 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 24 ; FoxSF ; 311 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 10 ; von_Schwarz ; 509 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alesjane ; 363 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 101 
 5800 ; 10 долларов США ; 1914 ;  ;  ;  ; 66 ; не отдам ; 5416 
 5801 ; 5 долларов США ; 1914 ;  ;  ;  ; 88 ; не отдам ; 3171 
 5802 ; Бона иностранная ; 1917 ;  ;  ;  ; 80 ; max2008 ; 2222 
 5803 ; Бона иностранная Швеция ; 1849 ;  ;  ;  ; 27 ; alesjane ; 3584 
 5804 ; Бона иностранная Китай ;  ;  ;  ;  ; 59 ; Monata ; 1306 
 5805 ; Лот бон 2 шт.  Китай ;  ;  ;  ;  ; 48 ; прохожий ; 2527 
 5806 ; Бона иностранная Китай ;  ;  ;  ;  ; 37 ; прохожий ; 2607 
 5807 ; Бона иностранная Китай ;  ;  ;  ;  ; 40 ; Monata ; 727 
 5808 ; Бона иностранная Китай ;  ;  ;  ;  ; 25 ; maks169 ; 213 
 5809 ; Бона иностранная Китай ;  ;  ;  ;  ; 14 ; maks169 ; 213 
 5810 ; Бона иностранная Китай ;  ;  ;  ;  ; 16 ; maks169 ; 227 
 5811 ; Бона иностранная Китай ;  ;  ;  ;  ; 16 ; maks169 ; 294 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 18 ; феникс55 ; 304 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 28 ; феникс55 ; 302 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 230269 ; 153 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 21 ; русь ; 250 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 48 ; русь ; 253 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Бармалей ; 616 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 302 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 3 ; orlov2015 ; 152 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 11 ; orlov2015 ; 100 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vfuflfy49 ; 91 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vfuflfy49 ; 30 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vfuflfy49 ; 30 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vfuflfy49 ; 30 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 8 ; orlov2015 ; 204 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 333985 ; 94 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 16 ; mmmm ; 136 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 23 ; mudritos ; 192 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 230269 ; 170 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 37 ; alesjane ; 160 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 28 ; русь ; 123 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 14 ; smel ; 126 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ZIMOGOR ; 90 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 7 ; FoxSF ; 57 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 50 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Рубчик ; 305 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 10 ; heavy_fly ; 91 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 26 ; FoxSF ; 227 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 17 ; наташа2712 ; 207 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Mike! ; 218 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 18 ; alapabula ; 137 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Mike! ; 215 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Darik75 ; 143 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Mike! ; 215 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 9 ; FoxSF ; 68 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 63 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 16 ; я8844 ; 79 
