 221 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; AU ; 38 ; S.r.l. ; 6059 
 222 ; 2 копейки ; 1854 ; ВМ ; Cu ; VF+ ; 13 ; ZOLTAN333 ; 4500 
 223 ; Копейка ; 1854 ; ЕМ ; Cu ; XF+ ; 37 ; Участник № 132 ; 1100 
 224 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 10 ; aae2006 ; 2448 
 225 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 21 ; Участник № 133 ; 5800 
 226 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; XF ; 8 ; лопух ; 2000 
 227 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 8 ; лопух ; 1277 
 228 ; 2 копейки ; 1855 ; ВМ ; Cu ; VF-XF ; 23 ; Участник № 114 ; 3400 
 229 ; Денежка (Ильин-1р, Петров-1,5р) ; 1855 ; ВМ ; Cu ; VF+ ; 17 ; Участник № 114 ; 1600 
 230 ; Копейка (Петров-2р) ; 1855 ; ЕМ ; Cu ; XF ; 11 ; Участник № 18 ; 1600 
 231 ; Копейка ; 1855 ; ВМ ; Cu ; XF ; 22 ; Участник № 132 ; 2600 
 232 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF ; 5 ; schuwaloff ; 2040 
 233 ; 3 копейки ; 1856 ; ВМ ; Cu ; VF+ ; 25 ; Участник № 114 ; 4700 
 234 ; 2 копейки ; 1856 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 51 ; 3800 
 235 ; 2 копейки (Ильин-2р) ; 1856 ; ВМ ; Cu ; VF+ ; 20 ; ААФ ; 3792 
 236 ; Копейка ; 1856 ; ВМ ; Cu ; XF- ; 19 ; Участник № 132 ; 2000 
 237 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 14 ; schuwaloff ; 2040 
 238 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 13 ; Участник № 133 ; 2600 
 239 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 41 ; Участник № 4 ; 18000 
 240 ; 3 копейки (Ильин-5р, Петров-5р) ; 1857 ; ВМ ; Cu ; VF+ ; 25 ; Участник № 1204 ; 28000 
 241 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 8 ; Участник № 30 ; 2600 
 242 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 11 ; Участник № 66 ; 650 
