 285 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU/XF ; 26 ; tisa66 ; 5400 
 286 ; 1/2 копейки ; 1872 ; ЕМ ; Cu ; XF ; 9 ; kol ; 6681 
 287 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; AU ; 9 ; Участник № 133 ; 2700 
 288 ; 10 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 11 ; Участник № 42 ; 3800 
 289 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU/XF ; 20 ; Участник № 30 ; 5000 
 290 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; AU ; 12 ; Участник № 133 ; 2200 
 291 ; 3 рубля. М-3,93г ; 1874 ; СПБ НI ; Au ; XF ; 80 ; сс400 ; 50000 
 292 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 21 ; Участник № 636 ; 7000 
 293 ; 3 рубля ; 1875 ; СПБ НI ; Au ; AU ; 131 ; kor ; 65280 
 294 ; 3 копейки ; 1876 ; СПБ ; Cu ; AU ; 17 ; SSK ; 3570 
 295 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; XF ; 31 ; sergfokin ; 2552 
 296 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; XF- ; 50 ; Zaratus ; 2550 
 297 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 39 ; Участник № 133 ; 2700 
 298 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 9 ; Участник № 133 ; 8500 
 299 ; 1/2 копейки ; 1878 ; СПБ ; Cu ; AU ; 49 ; kol ; 5432 
 300 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 11 ; Участник № 222 ; 2100 
 201 ; Рубль ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 27 ; Участник № 1462 ; 6200 
 202 ; 10 копеек (Ильин-3р). Оборотная корона последующих лет ; 1819 ; СПБ ПС ; Ag ; AU/XF ; 32 ; Участник № 42 ; 12000 
 203 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF+ ; 13 ; hugo ; 4284 
 204 ; Абаз ; 1821 ; АТ Грузия ; Ag ; VF ; 25 ; Участник № 222 ; 20000 
 205 ; 5 копеек ; 1822 ; СПБ ПД ; Ag ; XF- ; 8 ; Участник № 136 ; 2200 
 206 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 31 ; Участник № 222 ; 7000 
 207 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 25 ; vvt ; 4335 
 208 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; AU ; 16 ; Участник № 1462 ; 3400 
 209 ; 5 рублей. М-6,49г ; 1825 ; СПБ ПД ; Au ; VF ; 47 ; Участник № 51 ; 34000 
 210 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 12 ; antiquar ; 5400 
 211 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; AU ; 18 ; Участник № 133 ; 6000 
 212 ; 2 копейки ; 1826 ; ЕМ ИК ; Cu ; AU ; 10 ; Участник № 9 ; 2600 
 213 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF+ ; 38 ; Участник № 222 ; 6500 
 214 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; AU/Unc ; 36 ; Участник № 636 ; 18000 
 215 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF+ ; 35 ; SSK ; 6222 
 216 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF+ ; 31 ; avatar ; 13233 
 217 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF+ ; 24 ; Участник № 132 ; 3200 
 218 ; Двойной абаз ; 1829 ; АТ Грузия ; Ag ; VF+ ; 12 ; Участник № 545 ; 4200 
 219 ; 2 копейки. Инкузный след от застрявшей в штемпеле монеты ; 1820-1830 ;  ; Cu ; VF+ ; 25 ; кабан ; 7142 
 220 ; 3 рубля. М-10,35г ; 1830 ; СПБ ; Pt ; VF-XF ; 33 ; Участник № 1462 ; 55000 
 221 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; AU/Unc ; 31 ; 462 ; 7446 
 222 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; AU/Unc ; 29 ; Участник № 147 ; 12000 
 223 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 18 ; Участник № 636 ; 16000 
 224 ; Двойной абаз ; 1832 ; ВК Грузия ; Ag ; VF+ ; 13 ; Участник № 545 ; 4000 
 225 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 33 ; dimon46 ; 7701 
 226 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; AU ; 23 ; Участник № 1127 ; 5000 
 227 ; 10 копеек (Ильин-2р) ; 1834 ; СМ ; Cu ; F-VF ; 13 ; кабан ; 6000 
 228 ; 2 копейки (Ильин-1р) ; 1834 ; СМ ; Cu ; VF- ; 26 ; Участник № 51 ; 1900 
 229 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; AU ; 26 ; Участник № 147 ; 5500 
 230 ; Рубль ; 1836 ; СПБ НГ ; Ag ; VF-XF ; 18 ; toto ; 3876 
 231 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; AU ; 22 ; Участник № 1127 ; 6000 
 232 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF- ; 22 ; Участник № 147 ; 9000 
 233 ; Полтина ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 20 ; Участник № 133 ; 2800 
 234 ; 3 рубля. М-10,35г ; 1841 ; СПБ ; Pt ; VF+ ; 30 ; Участник № 9 ; 58000 
 235 ; Дукат. Нидерланды. Петербургский чекан. Признаки по Узденикову б) № 8,10,12. М-3,49г ; 1841 ;  ; Au ; AU ; 28 ; батя ; 21726 
 236 ; Медаль ; 1841 ; H.GUBE FECIT На бракосочетание ; Ag ; VF+ ; 50 ; boroda ; 80478 
 237 ; Рубль. Редкая. Ремонт 12 часов ; 1841 ; СПБ НГ На бракосочетание Алекс ; Ag ; XF ; 31 ; Участник № 9 ; 160000 
 238 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; AU/XF ; 14 ; Участник № 51 ; 4400 
 239 ; 3 рубля. М-10,14г ; 1842 ; СПБ ; Pt ; VF ; 70 ; skylink ; 34000 
 240 ; Рубль. Редок. ( МОНЕТЛ ) ; 1842 ; СПБ АЧ ; Ag ; XF/AU ; 40 ; AVA01 ; 23000 
 241 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; AU ; 40 ; Участник № 147 ; 18000 
 242 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; Unc/AU ; 19 ; Участник № 147 ; 9000 
 243 ; 25 копеек-50 грошей ; 1843 ; MW Рус.-Пол. ; Ag ; XF+ ; 44 ; Участник № 42 ; 20000 
 244 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; Unc/AU ; 25 ; Участник № 1127 ; 9000 
