 19 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF+ ; 22 ; elac ; 15189 
 20 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF-XF ; 30 ; Продано в зале ; 18500 
 21 ; Рубль ; 1877 ; СПБ HI ; Ag ; XF+ ; 15 ; Продано в зале ; 8500 
 22 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 26 ; Продано в зале ; 18000 
 23 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF/AU ; 55 ; elac ; 18074 
 24 ; Полтина ; 1723 ;  ; Ag ; VF ; 61 ; Продано в зале ; 38000 
 25 ; Полтина ; 1739 ;  ; Ag ; VF+ ; 24 ; Продано в зале ; 32000 
 26 ; Полтина ; 1764 ; СПБ ЯI ; Ag ; XF- ; 44 ; Продано в зале ; 46000 
 27 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF+/XF- ; 38 ; Продано в зале ; 8500 
 28 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF+ ; 69 ; sergius ; 14104 
 29 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU/XF+ ; 32 ; Продано в зале ; 14000 
 30 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+ ; 22 ; Продано в зале ; 9500 
 31 ; Полуполтинник ; 1764 ; ММД ЕI ТI ; Ag ; XF+ ; 46 ; Продано в зале ; 50000 
 32 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 44 ; igor_r65 ; 3002 
 33 ; 25 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 26 ; Продано в зале ; 9500 
 34 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; VF-XF ; 28 ; Sky2 ; 4726 
 35 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 31 ; e567 ; 6100 
 36 ; 25 копеек ; 1874 ; СПБ HI ; Ag ; XF+/XF- ; 37 ; Продано в зале ; 34000 
 37 ; 20 копеек ; 1846 ; СПБ ПА ; Ag ; XF+/XF ; 21 ; Продано в зале ; 11000 
 38 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 60 ; ZOLTAN333 ; 9314 
 39 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 26 ; First AID ; 1769 
 40 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 33 ; rt56 ; 3271 
 41 ; 20 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 22 ; tisa66 ; 5955 
 42 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 25 ; ZOLTAN333 ; 10400 
 43 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 17 ; Boss Orange ; 2895 
 44 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; Unc/AU ; 52 ; Продано в зале ; 19000 
 45 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 20 ; Продано в зале ; 1100 
 46 ; Гривенник ; 1781 ; СПБ ; Ag ; XF+ ; 25 ; tisa66 ; 7000 
 47 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 15 ; Krot111 ; 7017 
 48 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 39 ; fgd ; 8200 
 49 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 8 ; сr00 ; 1400 
 50 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 10 ; Продано в зале ; 600 
