 100 ; 25 пенни ; 1899 ; L Финляндия ; Ag ; AU/XF ; 11 ; Продано в зале ; 1400 
 1 ; Киевская гривна. Р-ры: 66х32мм. М-171,30гр ;  ;  ; Ag ;  ; 17 ; Aquila ; 61200 
 2 ; Литовская гривна. L-135мм. М-105,07гр. Деформация ;  ;  ; Ag ;  ; 22 ; sotnik ; 23460 
 3 ; Литовская гривна. L-100мм. М-100,36гр ;  ;  ; Ag ;  ; 34 ; Продано в зале ; 46000 
 4 ; 5 рублей. М-6,44гр ; 1823 ; СПБ ПС ; Au ; VF+ ; 29 ; картуш ; 58030 
 5 ; 5 рублей. В капсуле NGC ; 1873 ; СПБ НI ; Au ; MS 61 ; 32 ; verunk1 ; 37143 
 6 ; 5 рублей. М-6,45гр ; 1888 ; (АГ) Борода длиннее ; Au ; AU/XF ; 17 ; Продано в зале ; 26000 
 7 ; 3 рубля. М-3,93 ; 1874 ; СПБ НI ; Au ; VF-XF ; 28 ; Isay ; 55317 
 8 ; Полтина. М-0,83гр ; 1756 ;  ; Au ; XF+ ; 18 ; 575/575 ; 45902 
 9 ; 20 марок. М-6,45гр ; 1880 ; S Финляндия ; Au ; AU ; 28 ; int1965708 ; 44000 
 10 ; 10 марок. М-3,23гр ; 1904 ; L Финляндия ; Au ; AU ; 17 ; Продано в зале ; 37000 
 11 ; Рубль ; 1710 ;  ; Ag ; VF-XF ; 52 ; Продано в зале ; 1100000 
 12 ; Рубль ; 1720 ;  ; Ag ; VF-XF ; 45 ; 4758 ; 81100 
 13 ; Рубль ; 1723 ; ОК ; Ag ; VF ; 21 ; funcash ; 27143 
 14 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 17 ; Продано в зале ; 32000 
 15 ; Рубль ; 1724 ; ОК ; Ag ; VF+ ; 24 ; koll ; 23562 
 16 ; Рубль ; 1727 ;  ; Ag ; XF- ; 55 ; Продано в зале ; 110000 
 17 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 32 ; Продано в зале ; 36000 
 18 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 28 ; Продано в зале ; 36000 
