 217 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 7 ; Иван Иваныч ; 1502 
 218 ; 2 копейки ; 1843 ; ЕМ ; Cu ; VF-XF ; 22 ; overshtag ; 2608 
 219 ; Копейка ; 1843 ; ЕМ ; Cu ; VF-XF ; 29 ; Иван Иваныч ; 3335 
 220 ; 1/2 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 7 ; кабан ; 512 
 221 ; 5 рублей ; 1845 ; СПБ КБ ; Au ; XF+ ; 13 ; ZOLTAN333 ; 31620 
 222 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF+ ; 13 ; abakan ; 4080 
 223 ; 3 копейки ; 1845 ; СМ ; Cu ; VF+ ; 36 ; Иван Иваныч ; 3334 
 224 ; Рубль ; 1846 ; MW ; Ag ; VF-XF ; 15 ; Mmm ; 9282 
 225 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; XF+/XF ; 17 ; AVA01 ; 3062 
 226 ; 5 рублей ; 1848 ; СПБ АГ ; Au ; XF+ ; 9 ; Маша-растеряша ; 36984 
 227 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; XF- ; 5 ; ААФ ; 1501 
 228 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; XF+ ; 20 ; ААФ ; 5001 
 229 ; Рубль ; 1849 ; СПБ ПА ; Ag ; VF-XF ; 19 ; лиса ; 5916 
 230 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 16 ; Участник № 148 ; 4200 
 231 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 13 ; 61К ; 3162 
 232 ; 5 рублей ; 1851 ; СПБ АГ ; Au ; AU ; 9 ; Маша-растеряша ; 25258 
 233 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF- ; 14 ; лиса ; 8159 
 234 ; Полтина ; 1852 ; СПБ ПА ; Ag ; XF+ ; 23 ; Kolya-kms ; 10202 
 235 ; Полтина (Петров-5р) ; 1852 ; СПБ HI ; Ag ; VF+ ; 40 ; igors1969 ; 30000 
 236 ; 25 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 15 ; 61К ; 2552 
 237 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 7 ; Участник № 9 ; 3200 
 238 ; 3 копейки (Ильин-2р) ; 1852 ; ВМ ; Cu ; VF ; 16 ; Участник № 9 ; 3200 
 239 ; Копейка ; 1852 ; ВМ ; Cu ; VF+ ; 14 ; Участник № 30 ; 4200 
 240 ; Денежка ; 1852 ; ЕМ ; Cu ; VF-XF ; 5 ; evgenijzhuk ; 259 
 241 ; Денежка ; 1853 ; ЕМ ; Cu ; XF ; 12 ; HSS ; 3600 
 242 ; 2 копейки ; 1854 ; ВМ ; Cu ; VF+ ; 19 ; Участник № 9 ; 6500 
 243 ; Рубль ; 1855 ; СПБ HI ; Ag ; AU/XF+ ; 27 ; sem ; 15299 
 244 ; 2 копейки ; 1855 ; ВМ ; Cu ; VF+ ; 20 ; ААФ ; 5667 
 245 ; Копейка ; 1855 ; ВМ ; Cu ; VF+ ; 17 ; Участник № 30 ; 4400 
 246 ; Денежка ; 1855 ; ВМ ; Cu ; VF- ; 4 ; Участник № 147 ; 500 
 247 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 16 ; ААФ ; 4400 
 248 ; 2 копейки ; 1856 ; ВМ ; Cu ; VF+ ; 20 ; finger ; 8387 
 249 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 13 ; Участник № 30 ; 4400 
 250 ; Денежка ; 1856 ; ВМ ; Cu ; XF- ; 28 ; monos72 ; 5792 
 151 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF-XF ; 16 ; Участник № 148 ; 1900 
 152 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; XF- ; 5 ; набак ; 512 
 153 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; VF+ ; 5 ; набак ; 500 
 154 ; 2 копейки ; 1813 ; ЕМ НМ ; Cu ; XF+ ; 7 ; набак ; 1022 
 155 ; 2 копейки ; 1813 ; ИМ ПС ; Cu ; XF ; 5 ; набак ; 614 
 156 ; Деньга (Петров-4р, Ильин-3р) ; 1813 ; КМ АМ ; Cu ; F-VF ; 10 ; ААФ ; 1800 
 157 ; 2 копейки ; 1814 ; КМ АМ ; Cu ; XF+ ; 7 ; AVA01 ; 2267 
 158 ; Полтина ; 1817 ; СПБ ПС ; Ag ; VF-XF ; 66 ; finger ; 7897 
 159 ; 20 копеек ; 1818 ; СПБ ПС ; Ag ; VF+ ; 19 ; Участник № 1078 ; 1500 
 160 ; 10 копеек ; 1818 ; СПБ ПС ; Ag ; VF+ ; 12 ; ZOLTAN333 ; 3800 
 161 ; 2 копейки ; 1818 ; КМ ДБ ; Cu ; XF ; 15 ; AVA01 ; 8976 
 162 ; Копейка ; 1818 ; КМ АД ; Cu ; VF ; 5 ; vid ; 306 
