 230 ; 3 копейки ; 1852 ; ЕМ ; Cu ; XF- ; 33 ; Участник № 9 ; 2000 
 231 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 19 ; vvt ; 4000 
 232 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF+ ; 51 ; dimon46 ; 1924 
 233 ; Полушка ; 1853 ; ЕМ ; Cu ; AU ; 27 ; Участник № 30 ; 7000 
 234 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF- ; 15 ; батя ; 7140 
 235 ; Денежка ; 1854 ; ЕМ ; Cu ; XF ; 10 ; AVA 101 ; 2000 
 236 ; Полушка ; 1854 ; ЕМ ; Cu ; XF+ ; 12 ; Участник № 30 ; 1600 
 237 ; Полтина ; 1855 ; СПБ HI ; Ag ; AU ; 28 ; Участник № 62 ; 11000 
 238 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; XF- ; 7 ; dimon46 ; 1020 
 239 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 31 ; Участник № 133 ; 1600 
 240 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF-XF ; 16 ; Участник № 133 ; 3600 
 241 ; Полушка ; 1855 ; ЕМ ; Cu ; XF+ ; 8 ; Участник № 147 ; 1300 
 242 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 11 ; Участник № 1179 ; 12000 
 243 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 36 ; Участник № 133 ; 2800 
 244 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 14 ; Участник № 133 ; 2800 
 245 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 38 ; Участник № 42 ; 2300 
 246 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 11 ; Участник № 23 ; 2400 
 247 ; Полушка ; 1858 ; ЕМ ; Cu ; XF+ ; 11 ; Участник № 402 ; 1100 
 248 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 27 ; Участник № 55 ; 19000 
 249 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 20 ; dimon46 ; 16895 
 250 ; 2 копейки ; 1859 ; ЕМ ; Cu ; XF- ; 8 ; Участник № 16 ; 650 
 151 ; Полушка (Петров-8р, Ильин-3р) ; 1810 ; ЕМ ; Cu ; VF- ; 75 ; Участник № 9 ; 42000 
 152 ; Бисти (Петров-2р, Ильин-1р) ; 1810 ; Грузия ; Cu ; VF- ; 20 ; Участник № 545 ; 5600 
 153 ; Деньга (Петров-1р) ; 1811 ; ИМ МК ; Cu ; VF+ ; 11 ; TDN ; 714 
 154 ; 2 копейки. Цифра "3" перевернута ; 1813 ; СПБ ПС ; Cu ; VF+ ; 48 ; Участник № 133 ; 19000 
 155 ; Рубль ; 1815 ; СПБ МФ ; Ag ; VF-XF ; 13 ; Участник № 62 ; 5600 
 156 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF- ; 7 ; dimon46 ; 572 
 157 ; Полтина ; 1816 ; СПБ ПС ; Ag ; VF-XF ; 7 ; Участник № 62 ; 4200 
 158 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 3 ; Глол ; 22000 
 159 ; Полтина ; 1817 ; СПБ ПС ; Ag ; VF+ ; 18 ; Участник № 132 ; 4400 
 160 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 24 ; Участник № 1177 ; 12000 
 161 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; AU ; 27 ; Участник № 30 ; 8500 
 162 ; Рубль ; 1820 ; СПБ ПД ; Ag ; XF- ; 19 ; Участник № 133 ; 4600 
