 33 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF+ ; 45 ; Участник № 222 ; 4500 
 34 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; VF- ; 55 ; SSK ; 8000 
 35 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 37 ; Участник № 9 ; 3000 
 36 ; Полушка ; 1790 ; ЕМ ; Cu ; VF+ ; 13 ; lvd ; 2397 
 37 ; 5 копеек ; 1791 ; ЕМ ; Cu ; XF ; 14 ; la Gomera ; 555 
 38 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF ; 12 ; volod ; 458 
 39 ; 2 копейки (Петров-1,5р) ; 1793 ; Е- М Павл.перечекан ; Cu ; VF- ; 25 ; Участник № 1460 ; 4200 
 40 ; Копейка ; 1795 ; ЕМ ; Cu ; VF-XF ; 72 ; Участник № 51 ; 6200 
 41 ; Копейка ; 1796 ; ЕМ ; Cu ; VF+ ; 30 ; polushka ; 1300 
 42 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF- ; 14 ; Участник № 66 ; 1400 
 43 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 13 ; Участник № 1739 ; 2300 
 44 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF+ ; 25 ; SSK ; 3150 
 45 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 26 ; mac ; 714 
 46 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 12 ; Участник № 1442 ; 1300 
 47 ; Рубль ; 1812 ; СПБ МФ ; Ag ; VF ; 51 ; Участник № 1344 ; 2800 
 48 ; Рубль (Ильин-3р) ; 1813 ; СПБ ПС ; Ag ; VF+ ; 66 ; Участник № 147 ; 9000 
 49 ; Рубль ; 1816 ; СПБ МФ ; Ag ; VF-XF ; 51 ; Участник № 51 ; 6400 
 50 ; Рубль (Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; VF+ ; 46 ; Участник № 66 ; 7000 
