 37 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 38 ; Продано в зале ; 14000 
 38 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 34 ; Продано в зале ; 19000 
 39 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 21 ; Продано в зале ; 8500 
 40 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 17 ; Продано в зале ; 3200 
 41 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 26 ; птичкин ; 2142 
 42 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 26 ; Продано в зале ; 2700 
 43 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 60 ; Продано в зале ; 4600 
 44 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 29 ; Продано в зале ; 3600 
 45 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 21 ; Продано в зале ; 3200 
 46 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 30 ; Продано в зале ; 19000 
 47 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 33 ; Продано в зале ; 3400 
 48 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 13 ; Продано в зале ; 8000 
 49 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF+ ; 38 ; maka ; 14000 
 50 ; 15 копеек-1 злотый ; 1835 ; MW Рус.-Пол. ; Ag ; XF+ ; 42 ; Продано в зале ; 4000 
