 5398 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; emer911 ; 41 
 5399 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; Вадим Скифский ; 90 
 5400 ; Лот бон 2 шт. Германия ; 1908-10 ;  ;  ;  ; 13 ; Olimpia ; 357 
 5401 ; Бона иностранная Афганистан ;  ;  ;  ;  ; 49 ; vlad77 ; 3984 
 5402 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 30 ; boroda ; 260 
 5403 ; Бона иностранная Китай ; 1930 ;  ;  ;  ; 32 ; boroda ; 270 
 5404 ; Бона иностранная Китай ; 1937 ;  ;  ;  ; 19 ; ufa ; 159 
 5405 ; Бона иностранная Китай ; 1937 ;  ;  ;  ; 16 ; ufa ; 160 
 5406 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 16 ; Olimpia ; 181 
 5407 ; Бона иностранная Китай ;  ;  ;  ;  ; 20 ; lsp25 ; 340 
 5408 ; Бона иностранная Китай ; 1949 ;  ;  ;  ; 26 ; vlad77 ; 261 
 5409 ; Бона иностранная Китай ; 1949 ;  ;  ;  ; 44 ; lsp25 ; 283 
 5410 ; Бона иностранная Китай ;  ;  ;  ;  ; 21 ; lsp25 ; 203 
 5411 ; Бона иностранная Китай ;  ;  ;  ;  ; 41 ; lsp25 ; 257 
 5412 ; Бона иностранная Китай ;  ;  ;  ;  ; 51 ; lsp25 ; 333 
 5413 ; 5 долларов Гонг-Конг ; 1975 ;  ;  ;  ; 6 ; .gk ; 204 
 5414 ; 10 долларов Гонг-Конг ; 1976 ;  ;  ;  ; 13 ; boroda ; 204 
 5415 ; Бона иностранная Монголия ; 1941 ;  ;  ;  ; 13 ; alesjane ; 2040 
 5416 ; Лот бон 3 шт. Монголия ; 1955 ;  ;  ;  ; 62 ; ufa ; 306 
 5417 ; Лот бон 5 шт. Монголия ; 1966 ;  ;  ;  ; 57 ; жора ; 203 
 5418 ; Бона иностранная Монголия ; 1966 ;  ;  ; AU ; 28 ; lsp25 ; 317 
 5419 ; Бона иностранная Монголия ; 1966 ;  ;  ; AU ; 35 ; lsp25 ; 363 
 5420 ; Лот бон 7 шт. Монголия ;  ;  ;  ;  ; 13 ; viv007 ; 53 
 5421 ; Чек Монголия ;  ;  ;  ;  ; 9 ; Olimpia ; 128 
 5422 ; Бона иностранная Япония ;  ;  ;  ;  ; 39 ; boroda ; 203 
 5423 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 26 ; Maxim914 ; 158 
 5424 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 16 ; vladmarkin ; 175 
 5425 ; Бона иностранная Япония ;  ;  ;  ;  ; 31 ; ZIMOGOR ; 96 
 5426 ; Бона иностранная Корея ; 1947 ;  ;  ;  ; 14 ; doc2 ; 750 
 5427 ; Бона иностранная Китай ;  ;  ;  ;  ; 39 ; Olimpia ; 227 
 5428 ; Бона иностранная Мексика ;  ;  ;  ;  ; 25 ; heavy_fly ; 248 
 5429 ; Бона иностранная Мексика ;  ;  ;  ;  ; 32 ; Maxim914 ; 236 
 5430 ; Бона иностранная Мексика ;  ;  ;  ;  ; 38 ; von_Schwarz ; 453 
 5431 ; Бона иностранная Мексика ;  ;  ;  ;  ; 17 ; doc2 ; 284 
 5432 ; Бона иностранная Мексика ;  ;  ;  ;  ; 11 ; doc2 ; 239 
 5433 ; Бона иностранная Мексика ;  ;  ;  ;  ; 47 ; heavy_fly ; 204 
 5334 ; Бона иностранная ;  ;  ;  ;  ; 12 ; denisl ; 101 
 5335 ; 1000 марок Польша ; 1919 ;  ;  ;  ; 32 ; to-to ; 179 
 5336 ; 1000000 злотых Польша ; 1991 ;  ;  ; AU ; 42 ; pelmen761 ; 1536 
 5337 ; 5000 злотых Польша ; 1982 ;  ;  ; AU ; 55 ; Lex2000 ; 312 
 5338 ; 200 злотых Польша ; 1988 ;  ;  ; AU ; 18 ; grimbo ; 204 
 5339 ; 10 злотых Польша ; 1982 ;  ;  ;  ; 25 ; grimbo ; 204 
 5340 ; Бона иностранная Хорватия ;  ;  ;  ;  ; 15 ; Alekss_27 ; 622 
 5341 ; Бона иностранная Хорватия ;  ;  ;  ;  ; 58 ; krugerrand ; 175 
 5342 ; Бона иностранная Хорватия ;  ;  ;  ;  ; 16 ; vlad77 ; 216 
 5343 ; 1 динар Сербия ;  ;  ;  ;  ; 10 ; alesjane ; 341 
 5344 ; Лот бон 3 шт. Хорватия ;  ;  ;  ;  ; 38 ; krugerrand ; 299 
 5345 ; Лот бон 2 шт. Хорватия ;  ;  ;  ;  ; 15 ; diskus72 ; 171 
 5346 ; 50 крон Эстония ; 1994 ;  ;  ;  ; 8 ; Ыукут ; 249 
 5347 ; 100 крон Эстония ; 1994 ;  ;  ;  ; 17 ; Wulf ; 723 
 5348 ; 500 крон Эстония ; 1996 ;  ;  ;  ; 29 ; Wulf ; 2907 
 5349 ; 20 франков Швейцария ;  ;  ;  ;  ; 12 ; boroda ; 1084 
 5350 ; Лот бон 3 шт. Финляндия ; 1945-63 ;  ;  ;  ; 34 ; krugerrand ; 420 
 5351 ; 1 крона Терезиенштадт ; 1943 ;  ;  ; AU ; 27 ; banks ; 874 
 5352 ; 2 кроны Терезиенштадт ; 1943 ;  ;  ; AU ; 24 ; Бармалей ; 870 
 5353 ; 5 крон Терезиенштадт ; 1943 ;  ;  ; AU ; 18 ; Бармалей ; 877 
 5354 ; 10 крон Терезиенштадт ; 1943 ;  ;  ; AU ; 20 ; Бармалей ; 842 
 5355 ; 20 крон Терезиенштадт ; 1943 ;  ;  ; AU ; 18 ; нв1975 ; 908 
 5356 ; 50 крон Терезиенштадт ; 1943 ;  ;  ;  ; 18 ; evdiral ; 895 
