 76 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; UNC/AU ; 45 ; Продано в зале ; 15000 
 77 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; UNC/AU ; 31 ; Продано в зале ; 16000 
 78 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; UNC/AU ; 59 ; Продано в зале ; 22000 
 79 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; UNC/AU ; 62 ; Продано в зале ; 17000 
 80 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 29 ; Продано в зале ; 2000 
 81 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 33 ; Vitalik1 ; 1721 
 82 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 62 ; Vitalik1 ; 1812 
 83 ; 5 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 31 ; Продано в зале ; 2300 
 84 ; 5 копеек ; 1892 ; СПБ АГ ; Ag ; AU ; 14 ; renato ; 2228 
 85 ; 5 копеек. В капсуле NGC ; 1911 ; СПБ ЭБ ; Ag ; MS 65 ; 23 ; Продано в зале ; 4000 
 86 ; 5 копеек. В капсуле NGC ; 1912 ; СПБ ЭБ ; Ag ; MS 66 ; 27 ; serg2010 ; 8000 
 87 ; 10 грошей ; 1830 ; KG Польша ; Ag ; VF-XF ; 22 ; Продано в зале ; 7000 
 88 ; 10 копеек (Петров - 6 р., Ильин - 3 р.) ; 1766 ; "Сибирь" ; Cu ; VF- ; 42 ; zigzag ; 34000 
 89 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 30 ; Продано в зале ; 9500 
 90 ; 10 копеек ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 22 ; Vitalik1 ; 7142 
 91 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 8 ; Vitalik1 ; 8285 
 92 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF ; 17 ; Продано в зале ; 5000 
 93 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 30 ; Продано в зале ; 8000 
 94 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 17 ; Продано в зале ; 8000 
 95 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; Продано в зале ; 6500 
 96 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 46 ; Продано в зале ; 13000 
 97 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF- ; 22 ; Продано в зале ; 4000 
 98 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; Продано в зале ; 8500 
 99 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 27 ; evgenijzhuk ; 8163 
 100 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 41 ; sax ; 7143 
 101 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF ; 27 ; Продано в зале ; 4700 
 102 ; 5 копеек ; 1759 ; ММ ; Cu ; VF- ; 11 ; milk ; 567 
 1 ; Рубль ; 1725 ; СПБ ; Ag ; VF-XF ; 57 ; Продано в зале ; 145000 
 3 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 34 ; Продано в зале ; 56000 
 4 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 24 ; Продано в зале ; 52000 
 5 ; Рубль ; 1731 ;  ; Ag ; XF- ; 12 ; Продано в зале ; 34000 
 6 ; Рубль ; 1733 ;  ; Ag ; XF ; 21 ; Мишкаа ; 38760 
 7 ; Рубль (Петров - 4 р.) ; 1734 ;  ; Ag ; XF- ; 29 ; Продано в зале ; 65000 
 8 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 45 ; Продано в зале ; 24000 
 9 ; Рубль ; 1735 ;  ; Ag ; VF-XF/XF- ; 38 ; cr3609 ; 24725 
 10 ; Рубль ; 1744 ; СПБ ; Ag ; XF ; 38 ; полигон82 ; 28653 
 11 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; VF-XF ; 59 ; Продано в зале ; 16000 
 12 ; Рубль ; 1768 ; ММД EI ; Ag ; VF ; 41 ; Продано в зале ; 10500 
 13 ; Рубль ; 1769 ; ММД EI ; Ag ; XF ; 51 ; Продано в зале ; 70000 
 14 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; VF-XF ; 23 ; Продано в зале ; 14000 
 15 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF+ ; 29 ; ZOLTAN333 ; 59000 
 16 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF+ ; 28 ; Продано в зале ; 26000 
 17 ; Рубль. Брак чеканки ; 1817 ; СПБ ПС ; Ag ; XF+ ; 25 ; Продано в зале ; 21000 
 18 ; Рубль. На гурте 28-14/25 (ошибка) ; 1817 ; СПБ ПС ; Ag ; VF ; 14 ; Продано в зале ; 15000 
 19 ; Рубль (Ильин - 4 руб) ; 1817 ; СПБ ПС ; Ag ; AU ; 47 ; Продано в зале ; 95000 
 20 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 42 ; Продано в зале ; 34000 
 21 ; Рубль ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 15 ; форсаж ; 7000 
 22 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 51 ; A-Stral ; 10404 
 23 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; VF-XF ; 24 ; Продано в зале ; 96000 
 24 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF+/XF ; 29 ; форсаж ; 77182 
 25 ; Рубль ; 1870 ; СПБ HI ; Ag ; XF- ; 25 ; Продано в зале ; 42000 
 26 ; Рубль ; 1879 ; СПБ НФ ; Ag ; VF-XF ; 9 ; Продано в зале ; 14000 
 27 ; Рубль ; 1881 ; СПБ НФ ; Ag ; XF- ; 32 ; Продано в зале ; 32000 
 28 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 34 ; ZOLTAN333 ; 12901 
 29 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 41 ; 25 ; 20702 
 31 ; Полтина ; 1738 ;  ; Ag ; VF+ ; 13 ; форсаж ; 18471 
 32 ; Полтина ; 1756 ; СПБ IM BS ; Ag ; VF ; 31 ; Isay ; 40853 
 33 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF ; 16 ; sherst1 ; 4602 
