 16 ; Рубль ; 1739 ;  ; Ag ; VF+ ; 17 ; VAG ; 31722 
 17 ; Рубль ; 1739 ; СПБ ; Ag ; XF/AU ; 42 ; Продано в зале ; 64000 
 18 ; Рубль ; 1743 ; ММД ; Ag ; XF/AU ; 32 ; Продано в зале ; 110000 
 19 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; VF+ ; 21 ; dali ; 16320 
 20 ; Рубль ; 1754 ; СПБ ЯI BS ; Ag ; VF-XF ; 11 ; Продано в зале ; 36000 
 21 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF ; 26 ; Продано в зале ; 58000 
 22 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF/AU ; 24 ; Продано в зале ; 54000 
 23 ; Рубль ; 1766 ; СПБ АШ ; Ag ; VF- ; 35 ; Lapsho ; 23584 
 24 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF/AU ; 11 ; Продано в зале ; 18500 
 25 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF+ ; 33 ; Продано в зале ; 38000 
 26 ; Рубль ; 1785 ; СПБ ЯА TI ; Ag ; XF/AU ; 24 ; Продано в зале ; 74000 
 27 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; XF- ; 67 ; Продано в зале ; 62000 
 28 ; Рубль ; 1808 ; СПБ МК ; Ag ; VF+ ; 13 ; Акцент ; 16636 
 29 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 9 ; Акцент ; 16000 
 30 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 23 ; Продано в зале ; 19000 
 31 ; Рубль ; 1838 ; СПБ НГ ; Ag ; VF+ ; 18 ; Продано в зале ; 36000 
 32 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 30 ; serg2010 ; 6000 
 33 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 24 ; Продано в зале ; 34000 
 34 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 47 ; Продано в зале ; 6000 
 35 ; Рубль ; 1845 ; СПБ КБ ; Ag ; AU ; 43 ; Продано в зале ; 75000 
 36 ; Рубль ; 1852 ; СПБ ПА ; Ag ; AU ; 37 ; Продано в зале ; 31500 
 37 ; Рубль ; 1864 ; СПБ НФ ; Ag ; XF+ ; 61 ; Продано в зале ; 130000 
 38 ; Рубль ; 1866 ; СПБ НФ ; Ag ; XF+ ; 37 ; Продано в зале ; 125000 
 39 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 29 ; Продано в зале ; 23000 
 40 ; Рубль ; 1886 ; (АГ) ; Ag ; XF/AU ; 37 ; 496 ; 70000 
 41 ; Рубль ; 1891 ; (АГ) ; Ag ; AU ; 42 ; 439 ; 68000 
 42 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 62 ; Продано в зале ; 88000 
 43 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 42 ; Продано в зале ; 42000 
 44 ; Рубль ; 1907 ; (ЭБ) ; Ag ; VF-XF ; 39 ; Продано в зале ; 9000 
 45 ; Рубль ; 1910 ; (ЭБ) ; Ag ; AU ; 36 ; 496 ; 40800 
 46 ; Рубль ; 1913 ; На 300-летие Дома Романовых ; Ag ; AU ; 23 ; vagvagvag ; 8160 
 47 ; 3/4 рубля-5 злотых ; 1837 ; НГ Рус.-Пол. ; Ag ; XF- ; 33 ; Продано в зале ; 10000 
 48 ; Полтина ; 1733 ;  ; Ag ; XF+ ; 55 ; Продано в зале ; 58000 
 49 ; Полтина ; 1798 ; СМ МБ ; Ag ; XF/AU ; 74 ; Продано в зале ; 160000 
 50 ; Полтина ; 1804 ; СПБ ФГ ; Ag ; XF- ; 59 ; Продано в зале ; 130000 
