 82 ; Полушка (Петров-3р, Ильин-3р) ; 1797 ; КМ ; Cu ; VF- ; 19 ; нумизмат ; 4082 
 83 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF-XF ; 58 ; Sky2 ; 12003 
 84 ; Полушка ; 1798 ; ЕМ ; Cu ; VF+ ; 25 ; Участник № 584 ; 1900 
 85 ; 5 копеек ; 1802 ; ЕМ ; Cu ; XF- ; 20 ; Участник № 168 ; 5500 
 86 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; XF- ; 55 ; Участник № 208 ; 34000 
 87 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF+ ; 40 ; Участник № 30 ; 14000 
 88 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF- ; 38 ; Alexdav ; 4873 
 89 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 5 ; volod ; 1938 
 90 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 27 ; fikus ; 2580 
 91 ; Деньга (Петров-1р, Ильин-1р) ; 1805 ; ЕМ ; Cu ; XF+ ; 46 ; Участник № 51 ; 50000 
 92 ; Копейка (Ильин-3р) ; 1807 ; КМ ; Cu ; F-VF ; 29 ; alex22 ; 19500 
 93 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; AU ; 21 ; fikus ; 40000 
 94 ; 5 копеек ; 1810 ; ЕМ ; Cu ; XF ; 35 ; Участник № 1204 ; 9500 
 95 ; 2 копейки ; 1810 ; КМ ; Cu ; XF ; 20 ; Mmm ; 3100 
 96 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; AU ; 20 ; Участник № 51 ; 4400 
 97 ; Копейка (Петров-6р, Ильин-4р) ; 1812 ; КМ АМ ; Cu ; F-VF ; 11 ; dimon46 ; 4600 
 98 ; Рубль ; 1814 ; СПБ МФ ; Ag ; VF-XF ; 50 ; лиса ; 5826 
 99 ; Рубль. Тип герба предидущих лет ; 1818 ; СПБ ПС ; Ag ; XF+ ; 32 ; ZOLTAN333 ; 8000 
 100 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF- ; 31 ; Участник № 1176 ; 4200 
 1 ; Полтина (Петров-4р) ; 1704 ;  ; Ag ; VF-XF ; 32 ; Участник № 2 ; 95000 
 2 ; Гривна (Петров-2р) ; 1705 ; БК ; Ag ; VF-XF ; 29 ; Участник № 18 ; 15000 
 3 ; Копейка ; 1705 ; БК ; Cu ; VF+ ; 69 ; Участник № 168 ; 10000 
 4 ; Копейка ; 1707 ; МД ; Cu ; VF ; 13 ; Участник № 584 ; 1700 
 5 ; Денга ; 1707 ;  ; Cu ; VF-XF ; 9 ; Участник № 1295 ; 9500 
 6 ; Полушка ; 1707 ;  ; Cu ; VF+ ; 18 ; monos72 ; 7619 
 7 ; Копейка ; 1708 ; МД ; Cu ; VF ; 29 ; monos72 ; 4104 
 8 ; Копейка ; 1714 ; МД ; Cu ; VF- ; 33 ; кабан ; 2443 
 9 ; Полушка (Петров-1р) ; 1718 ;  ; Cu ; VF+ ; 14 ; Участник № 51 ; 2700 
 10 ; Рубль (Петров-4р) ; 1719 ; OK ; Ag ; VF-XF ; 43 ; Участник № 30 ; 70000 
 11 ; Полушка ; 1720 ;  ; Cu ; XF ; 32 ; Участник № 51 ; 4200 
 12 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 41 ; Участник № 147 ; 21000 
 13 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 28 ; Участник № 147 ; 19000 
 14 ; Полтина ; 1724 ;  ; Ag ; XF- ; 16 ; Участник № 135 ; 55000 
 15 ; 5 копеек ; 1726 ; МД Хвост узкий ; Cu ; VF-XF ; 9 ; Участник № 1295 ; 11000 
 16 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 26 ; TDN ; 22440 
 17 ; Рубль ; 1728 ;  ; Ag ; XF- ; 29 ; Участник № 51 ; 30000 
 18 ; Рубль ; 1728 ;  ; Ag ; XF- ; 25 ; Участник № 62 ; 34000 
 19 ; Рубль (Петров-10р, Ильин-3р) ; 1729 ;  ; Ag ; XF- ; 50 ; Участник № 2 ; 90000 
 20 ; Денга ; 1731 ;  ; Cu ; XF ; 29 ; Участник № 523 ; 3200 
 21 ; Полтина. Дефект гурта 12 часов ; 1732 ;  ; Ag ; VF+ ; 39 ; TDN ; 16029 
 22 ; Рубль (Ильин-5р, редкая) ; 1733 ;  ; Ag ; VF-XF ; 22 ; Участник № 30 ; 125000 
 23 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 43 ; TDN ; 18666 
 24 ; Рубль ; 1745 ; ММД ; Ag ; VF+ ; 20 ; ААФ ; 11001 
 25 ; Рубль ; 1749 ; СПБ ; Ag ; XF ; 25 ; Участник № 7 ; 24000 
 26 ; Рубль ; 1750 ; СПБ ; Ag ; XF+ ; 15 ; Участник № 51 ; 36000 
 27 ; Рубль ; 1751 ; СПБ ; Ag ; XF ; 23 ; Участник № 51 ; 27000 
 28 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; XF- ; 17 ; СВл ; 24047 
 29 ; Рубль ; 1752 ; ММД Е ; Ag ; VF-XF ; 48 ; у44 ; 15302 
 30 ; Рубль ; 1754 ; ММД МБ ; Ag ; VF-XF ; 12 ; у44 ; 14566 
 31 ; Рубль ; 1754 ; ММД МБ ; Ag ; VF-XF ; 17 ; инга ; 20400 
 32 ; Полтина. М-0,81г ; 1756 ;  ; Au ; AU ; 40 ; sity007 ; 29580 
 33 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; AU ; 24 ; Участник № 133 ; 46000 
 34 ; Гривенник ; 1756 ; МБ ; Ag ; VF-XF ; 27 ; нумизмат ; 3800 
 35 ; Рубль (Петров-5р) ; 1757 ; ММД МБ ; Ag ; XF+ ; 27 ; Участник № 30 ; 80000 
 36 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 24 ; gerz ; 6451 
 37 ; Полушка ; 1757 ;  ; Cu ; VF-XF ; 31 ; Участник № 30 ; 9000 
 38 ; 2 копейки (гуртовая надпись "МОСКОВСКОГО МОНЕТНОГО ДВОРА", очень редкая) ; 1758 ;  ; Cu ; XF- ; 20 ; Участник № 140 ; 42000 
 39 ; Рубль (Петров-4р, Ильин-3р) ; 1760 ; СПБ ЯI TI ; Ag ; XF- ; 25 ; у44 ; 42840 
 40 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF-XF ; 19 ; TDN ; 40800 
 41 ; Полтина ; 1762 ; СПБ НК TI ; Ag ; VF+ ; 45 ; alex-05 ; 30001 
 42 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF+ ; 11 ; на рубль больше ; 2397 
 43 ; Копейка (Петров-8р, Ильин-8р) ; 1764 ; ММ ; Cu ; F-VF ; 42 ; Участник № 140 ; 20000 
 44 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF- ; 16 ; Участник № 1176 ; 13000 
 45 ; 5 копеек ; 1765 ; ММ ; Cu ; XF ; 38 ; Участник № 51 ; 15000 
 46 ; 5 копеек ; 1765 ; СМ ; Cu ; VF ; 9 ; на рубль больше ; 1836 
 47 ; 5 копеек (Петров-3р, Ильин-5р) ; 1767 ; СПМ ; Cu ; F-VF ; 26 ; АНД ; 9690 
 48 ; Полушка ; 1767 ; ЕМ ; Cu ; XF- ; 17 ; alex-05 ; 5000 
 49 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; XF- ; 18 ; Участник № 51 ; 8500 
 50 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 35 ; Sky2 ; 3317 
