 187 ; 10 копеек ; 1845 ; СПБ КБ  ; Ag ; XF+ ; 15 ; Участник № 607 ; 4500 
 188 ; 5 копеек ; 1845 ; СПБ КБ  ; Ag ; AU/XF+ ; 7 ; Участник № 750 ; 2600 
 189 ; Рубль ; 1846 ; MW  ; Ag ; VF-XF ; 15 ; Участник № 637 ; 10000 
 190 ; 25 копеек ; 1847 ; СПБ ПА  ; Ag ; AU ; 18 ; Участник № 9 ; 5500 
 191 ; 20 копеек ; 1847 ; СПБ ПА  ; Ag ; AU ; 36 ; Участник № 867 ; 19584 
 192 ; 5 копеек ; 1847 ; СПБ ПА  ; Ag ; AU ; 19 ; Участник № 4 ; 4000 
 193 ; Рубль ; 1848 ; СПБ HI  ; Ag ; XF- ; 13 ; Участник № 9 ; 9500 
 194 ; 25 копеек ; 1848 ; СПБ HI  ; Ag ; VF-XF ; 11 ; Участник № 9 ; 2600 
 195 ; 25 копеек ; 1848 ; СПБ ПА  ; Ag ; VF-XF ; 9 ; Участник № 9 ; 1600 
 196 ; 5 копеек ; 1848 ; СПБ HI  ;  ; XF+/XF ; 15 ; Участник № 9 ; 4000 
 197 ; 5 копеек ; 1848 ; СПБ HI  ; Ag ; AU ; 23 ; Участник № 133 ; 4200 
 198 ; Рубль ; 1849 ; СПБ ПА  ; Ag ; VF-XF ; 18 ; Участник № 9 ; 10000 
 199 ; Полтина ; 1849 ; СПБ ПА  ; Ag ; VF-XF ; 18 ; Участник № 419 ; 7000 
 200 ; 5 копеек ; 1849 ; СПБ ПА  ;  ; AU ; 98 ; Участник № 222 ; 4200 
 101 ; 5 копеек ; 1796 ; КМ  ;  ; VF+ ; 9 ; Участник № 29 ; 3224 
 102 ; 2 копейки ; 1796 ; ЕМ  ; Cu ; VF-XF ; 33 ; Участник № 585 ; 7500 
 103 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; F-VF ; 20 ; Участник № 9 ; 7000 
 104 ; 2 копейки ; 1797 ; ЕМ  ; Cu ; VF+ ; 7 ; Участник № 9 ; 700 
