 33 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 41 ; robby ; 6018 
 34 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 23 ; нумизмат ; 3876 
 35 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 18 ; андрей&ка ; 4998 
 36 ; 10 копеек ; 1854 ; СПБ HI ; Ag ; XF ; 15 ; валенок ; 5500 
 37 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; XF+ ; 18 ; robby ; 3060 
 38 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 33 ; robby ; 6674 
 39 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 6 ; Продано в зале ; 800 
 40 ; 10 копеек ; 1875 ; СПБ HI ; Ag ; XF/AU ; 15 ; Продано в зале ; 2600 
 41 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 16 ; robby ; 2552 
 42 ; 5 копеек ; 1820 ; СПБ ПД ; Ag ; XF- ; 22 ; ZOLTAN333 ; 3060 
 43 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 17 ; Продано в зале ; 950 
 44 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; XF+ ; 21 ; robby ; 3060 
 45 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; AU ; 27 ; Lisik ; 3794 
 46 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 17 ; serg2010 ; 2040 
 47 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 13 ; ZOLTAN333 ; 2244 
 48 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU/XF ; 14 ; robby ; 1535 
 49 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU/XF ; 16 ; nemoYA ; 3828 
 50 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU/XF ; 33 ; robby ; 6000 
