 96 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 23 ; to-to ; 4659 
 97 ; 5 копеек. В капсуле NGC ; 1884 ; СПБ АГ ; Ag ;  ; 14 ; il468 ; 1609 
 98 ; Алтын  (Петров-2р.) ; 1712 ;  ; Ag ; VF+ ; 51 ; Продано в зале ; 21000 
 99 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 14 ; Продано в зале ; 9000 
 100 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 19 ; Sintez ; 9066 
 1 ; Платежный слиток. Гривна ;  ; Новгородская ; Ag ;  ; 39 ; Гостомысл ; 28000 
 2 ; Денга ; 1447-1478 ; Великий Новгород ; Ag ; VF+ ; 15 ; masterovoi ; 2397 
 3 ; Денга ; 1424-1510 ; Псков ; Ag ; VF+ ; 24 ; masterovoi ; 5000 
 4 ; 2 рубля. М-3,22г. ; 1756 ; СПБ ; Au ; XF+ ; 58 ; Продано в зале ; 145000 
 5 ; Рубль. М-1,57г. ; 1756 ;  ; Au ; XF- ; 56 ; Продано в зале ; 43000 
 6 ; Рубль. М-1,60гр ; 1756 ;  ; Au ; XF ; 16 ; Продано в зале ; 43000 
 7 ; 5 рублей. M-6,52г. ; 1818 ; СПБ МФ ; Au ; XF ; 57 ; krugerrand ; 105000 
 8 ; 5 рублей. М-6,54г ; 1831 ; СПБ ПД ; Au ; XF ; 49 ; 333985 ; 110000 
 9 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 10 ; 5 рублей. Капсула PCGS ; 1842 ; СПБ АЧ ; Au ;  ; 20 ; а1945 ; 34000 
 11 ; 5 рублей. M-6,52г. ; 1849 ; СПБ АГ ; Au ; XF ; 26 ; Продано в зале ; 36000 
 12 ; 5 рублей. Капсула NGC ; 1851 ; СПБ АГ ; Au ;  ; 28 ; verunk1 ; 50000 
 13 ; 5 рублей. M-6,5г. ; 1877 ; СПБ НI ; Au ; XF ; 48 ; papinazu ; 36000 
 14 ; 3 рубля. М-3,89г. ; 1875 ; СПБ НI ; Au ; XF ; 25 ; Сыч ; 55000 
 15 ; 3 рубля ; 1832 ; СПБ ; Pt ; VF-XF ; 56 ; Продано в зале ; 72500 
 16 ; Рубль ; 1705 ; МД ; Ag ; VF-XF ; 55 ; Продано в зале ; 270000 
 17 ; Рубль ; 1719 ; L OK ; Ag ; XF+ ; 33 ; 78gen ; 200000 
 18 ; Рубль (Петров-5р) ; 1722 ;  ; Ag ; VF+ ; 35 ; Kartu ; 71400 
 19 ; Рубль ; 1723 ; ОК ; Ag ; XF+ ; 47 ; Продано в зале ; 170000 
 20 ; Рубль (Петров-3,5р, Ильин-3р) ; 1726 ;  ; Ag ; XF ; 35 ; Rarik ; 93500 
 21 ; Рубль (Петров-8р. Ильин-5р) ; 1727 ; СПБ ; Ag ; VF ; 27 ; Продано в зале ; 95000 
 22 ; Рубль  (Петров-15р. Ильин-5р) ; 1727 ; СПБ ; Ag ; VF-XF ; 20 ; Продано в зале ; 90000 
 23 ; Рубль ; 1727 ;  ; Ag ; XF ; 17 ; Продано в зале ; 47000 
 24 ; Рубль ; 1728 ;  ; Ag ; XF ; 25 ; Kartu ; 44000 
 25 ; Рубль ; 1729 ;  ; Ag ; XF+ ; 52 ; Продано в зале ; 145000 
 26 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 33 ; Продано в зале ; 28000 
 27 ; Рубль ; 1736 ;  ; Ag ; VF-XF ; 25 ; Продано в зале ; 26000 
 28 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 29 ; Продано в зале ; 20000 
 29 ; Рубль ; 1738 ;  ; Ag ; XF ; 30 ; ацетон ; 40000 
 30 ; Рубль ; 1746 ; ММД ; Ag ; XF ; 35 ; habibbulin ; 23000 
 31 ; Рубль ; 1753 ; СПБ IM ; Ag ; AU ; 89 ; Продано в зале ; 135000 
 32 ; Рубль ; 1754 ; ММД EI ; Ag ; VF-XF ; 25 ; eastern wind ; 25506 
 33 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 32 ; habibbulin ; 17500 
 34 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF- ; 19 ; Продано в зале ; 13000 
 35 ; Рубль ; 1767 ; ММД EI ; Ag ; VF-XF ; 36 ; papinazu ; 36000 
 36 ; Рубль ; 1771 ; СПБ АШ TI ; Ag ; XF- ; 41 ; habibbulin ; 16000 
 37 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF ; 45 ; habibbulin ; 28000 
 38 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 34 ; Продано в зале ; 18000 
 39 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; VF-XF ; 17 ; habibbulin ; 14500 
 40 ; Рубль (Петров - 4р.) ; 1777 ; СПБ ФЛ ; Ag ; AU ; 48 ; DAndy-2003 ; 31620 
 41 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF ; 23 ; Druja ; 18500 
 42 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF/AU ; 24 ; to-to ; 17000 
 43 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF+ ; 43 ; vic-dmitri ; 44000 
 44 ; Рубль ; 1799 ; СМ ФЦ ; Ag ; XF ; 54 ; ValeriyL ; 40800 
 45 ; Рубль ; 1801 ; СМ АИ ; Ag ; XF+ ; 26 ; masterovoi ; 42000 
 46 ; Рубль ; 1809 ; СПБ МК ; Ag ; XF+ ; 33 ; Продано в зале ; 52000 
 47 ; Рубль ; 1812 ; СПБ МФ ; Ag ; XF+ ; 53 ; Продано в зале ; 45000 
 48 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF+ ; 56 ; 86578756578 ; 15500 
 49 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 23 ; habibbulin ; 19500 
 50 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 40 ; Продано в зале ; 26000 
