 40 ; 10 копеек. Капсула ; 1884 ; СПБ АГ ; Ag ;  ; 36 ; CapsulЪ ; 26000 
 41 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; XF+ ; 37 ; Kudima ; 9690 
 42 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; AU ; 100 ; I3 ; 80000 
 43 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; XF+/AU ; 55 ; Продано в зале ; 7500 
 44 ; 5 копеек ; 1756 ; СПБ ; Ag ; XF+ ; 33 ; Торт ; 16000 
 45 ; 5 копеек ; 1813 ; СПБ ПС ; Ag ; XF+ ; 45 ; Dude8220 ; 6000 
 46 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 19 ; Shootnic ; 2100 
 47 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 29 ; волька76 ; 5500 
 48 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 25 ; Dude8220 ; 3672 
 49 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 23 ; волька76 ; 3800 
 50 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 28 ; sdv75-2010 ; 5250 
