 39 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF-XF ; 36 ; Участник № 1036 ; 19000 
 40 ; 5 копеек ; 1765 ; ММ ; Cu ; VF ; 11 ; Участник № 114 ; 1500 
 41 ; 2 копейки ; 1765 ; ММ ; Cu ; VF+ ; 29 ; Участник № 51 ; 1800 
 42 ; 2 копейки ; 1766 ; СПМ ; Cu ; VF/VF+ ; 56 ; Глол ; 9500 
 43 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF/XF+ ; 29 ; Участник № 62 ; 56000 
 44 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 26 ; Участник № 51 ; 52000 
 45 ; Гривенник ; 1768 ; СПБ TI ; Ag ; VF+ ; 35 ; RF ; 3007 
 46 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; VF-XF ; 13 ; Участник № 55 ; 19000 
 47 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF ; 15 ; ААФ ; 1530 
 48 ; Пара-3 деньги (Петров-7р, Ильин-5р) ; 1771 ; S Валахия ; Cu ; VF- ; 70 ; Глол ; 51126 
 49 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 15 ; Участник № 133 ; 2400 
 50 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF- ; 7 ; SDF ; 4533 
