 6466 ; Кассета MB CAPS 24 для монет, на 42 ячейки. Leuchtturm, #337277 ;  ;  ;  ;  ; 23 ; Meshok ; 816 
 6467 ; Кассета MB 12 PP для монет, на 12 ячеек. Leuchtturm, #305830 ;  ;  ;  ;  ; 29 ; Спортсмен13 ; 703 
 6468 ; Кассета MB CAPS 19 для монет, на 63 ячейки. Leuchtturm, #306702 ;  ;  ;  ;  ; 12 ; металлург ; 800 
 6469 ; Альбом R010808 на 180 монет, с листами. Россия ;  ;  ;  ;  ; 19 ; nikki999 ; 208 
 6320 ; Лот почтовых конвертов (2 штуки) ; 1969 ;  ;  ;  ; 7 ; Пионерская правда ; 223 
 6321 ; Конверт ;  ;  ;  ;  ; 9 ; aletta ; 47 
 6322 ; Лот почтовых конвертов (2 штуки) ;  ;  ;  ;  ; 23 ; aletta ; 140 
 6323 ; Почтовая карточка ;  ;  ;  ;  ; 31 ; Тульма ; 123 
 6324 ; Открытое письмо с гашением. Финляндия ;  ;  ;  ;  ; 16 ; aletta ; 130 
 6325 ; Открытое письмо с гашением ;  ;  ;  ;  ; 13 ; porte33 ; 101 
 6326 ; Конверт с гашением ;  ;  ;  ;  ; 17 ; porte33 ; 110 
 6327 ; Лот почтовых конвертов (2 штуки) ;  ;  ;  ;  ; 16 ; Пионерская правда ; 258 
 6328 ; Лот почтовых конвертов (2 штуки) ;  ;  ;  ;  ; 11 ; Пионерская правда ; 223 
 6329 ; Лот открыток  малого формата ;  ;  ;  ;  ; 12 ; Meshok ; 26 
 6330 ; Лот открыток в буклете (7 штук) Азербайджан ; 1973 ;  ;  ;  ; 13 ; lenohota ; 48 
 6331 ; Лот открыток в буклете (12 штук) Автомобиль ; 1982 ;  ;  ;  ; 27 ; Рисковый ; 242 
 6332 ; Лот открыток в буклете (16 штук) Русские крепости ; 1986 ;  ;  ;  ; 35 ; CoinM ; 232 
 6333 ; Лот открыток в буклете (12 штук) Изобразительное искусство Индии ; 1956 ;  ;  ;  ; 12 ; Meshok ; 36 
 6334 ; Лот открыток в буклете (16 штук ) "Храбрый Том" ; 1979 ;  ;  ;  ; 18 ; lenohota ; 99 
 6335 ; Лот открыток в буклете (16 штук) "Чудесное Путешествие Нильса с дикими гусями" ; 1981 ;  ;  ;  ; 13 ; lenohota ; 55 
 6336 ; Лот открыток в буклете (16 штук ) Ереван ; 1986 ;  ;  ;  ; 13 ; Meshok ; 40 
 6337 ; Лот открыток в буклете (16 штук ) Финист - ясный сокол ; 1981 ;  ;  ;  ; 25 ; lenohota ; 101 
 6338 ; Лот открыток в буклете (16 штук ) "Русские сказки" ; 1977 ;  ;  ;  ; 14 ; ga2012 ; 120 
 6339 ; Лот открыток в буклете (16 штук ) "У Лукоморья" ; 1976 ;  ;  ;  ; 10 ; ga2012 ; 72 
 6340 ; Лот открыток в буклете (14 штук)  "Оле-Лукойе ; 1974 ;  ;  ;  ; 13 ; lenohota ; 65 
 6341 ; Конверт с гашением и марками ;  ;  ;  ;  ; 7 ; porte33 ; 30 
 6342 ; Лот почтовых конвертов. Космос Аполлон, США (5 штук) ; 1969 ;  ;  ;  ; 52 ; Ok203 ; 873 
 6343 ; Лот почтовых конвертов,  США  (5 штук) ;  ;  ;  ;  ; 10 ; Пионерская правда ; 255 
 6344 ; Лот почтовых конвертов и карточек. Космос Аполлон, США  (5 штук) ; 1972 ;  ;  ;  ; 47 ; Ok203 ; 888 
 6345 ; Лот почтовых конвертов. Космос Аполлон, США (4 штуки) ; 1971-1975 ;  ;  ;  ; 73 ; Ok203 ; 888 
 6346 ; Лот почтовых конвертов со спецгашением (10 штук) ; 1968-1971 ;  ;  ;  ; 15 ; topotun ; 112 
 6347 ; Лот почтовых конвертов со спецгашением (50 штук) ;  ;  ;  ;  ; 7 ; Житель12 ; 159 
 6348 ; Лот почтовых конвертов со спецгашением (50 штук) ;  ;  ;  ;  ; 7 ; Житель12 ; 255 
 6349 ; Лот почтовых конвертов (100 штук) ;  ;  ;  ;  ; 24 ; topotun ; 459 
 6350 ; Лот почтовых конвертов (100 штук) ;  ;  ;  ;  ; 15 ; topotun ; 459 
 6401 ; Работа Марии Песоцкой. Гортензия, 2018 ;  ;  ;  ;  ; 21 ; MUPS ; 426 
 6402 ; Картина Варвары Соболевой. Порода - это не главное! ;  ;  ;  ;  ; 44 ; Анатолий57 ; 2330 
 6403 ; Папка для хранения рисунков и документов. Конрос ;  ;  ;  ;  ; 5 ; Kashakich ; 150 
 6404 ; Капсулы для монет – 17 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343994 ;  ;  ;  ;  ; 11 ; Terem ; 192 
 6405 ; Капсулы для монет – 19 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343996 ;  ;  ;  ;  ; 29 ; Goshka ; 266 
 6406 ; Капсулы для монет – 21 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343998 ;  ;  ;  ;  ; 23 ; Goshka ; 253 
 6407 ; Капсулы для монет – 23 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344000 ;  ;  ;  ;  ; 30 ; Goshka ; 315 
