 72 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 18 ; sotnik ; 30600 
 73 ; Полтина ; 1719 ;  ; Ag ; VF+ ; 39 ; кантемир ; 26520 
 74 ; Полтина ; 1720 ;  ; Ag ; VF-XF ; 31 ; кантемир ; 62220 
 75 ; Полтина ; 1721 ;  ; Ag ; XF ; 29 ; Продано в зале ; 42000 
 76 ; Полтина ; 1721 ;  ; Ag ; VF-XF ; 44 ; кантемир ; 46000 
 77 ; Полтина ; 1723 ;  ; Ag ; VF+ ; 25 ; Салют ; 44164 
 78 ; Полтина ; 1726 ; СПБ ; Ag ; VF+ ; 41 ; кантемир ; 60000 
 79 ; Полтина (Петров - 4 р.) ; 1743 ; ММД ; Ag ; VF+ ; 51 ; СВИ ; 20577 
 80 ; Полтина (Петров - 3 руб) ; 1744 ; ММД ; Ag ; VF-XF ; 44 ; yrij ; 27666 
 81 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; XF- ; 20 ; Продано в зале ; 36000 
 82 ; Полтина ; 1800 ; СМ ОМ ; Ag ; VF ; 36 ; СВИ ; 26520 
 83 ; Полтина (Петров - 3 р.) ; 1863 ; СПБ АБ ; Ag ; XF- ; 29 ; тойта ; 35700 
 84 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 52 ; zuza ; 15001 
 85 ; Полтина ; 1897 ; ( * ) ; Ag ; XF+ ; 7 ; тойта ; 8670 
 86 ; Полтина ; 1897 ; ( * ) ; Ag ; XF+ ; 49 ; Салют ; 14847 
 87 ; Полтина ; 1901 ; (АР) АГ ; Ag ; VF-XF ; 53 ; Продано в зале ; 19000 
 88 ; Полтина ; 1906 ; (ЭБ) АГ ; Ag ; AU ; 27 ; Продано в зале ; 170000 
 89 ; Полуполтинник ; 1752 ; ММД Е ; Ag ; XF- ; 43 ; кантемир ; 13263 
 90 ; Полуполтинник ; 1755 ; ММД МБ ; Ag ; XF- ; 16 ; Продано в зале ; 16000 
 91 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; XF/VF-XF ; 11 ; Продано в зале ; 18000 
 92 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF-XF ; 5 ; кантемир ; 4650 
