 37 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF-XF ; 22 ; вист ; 4800 
 38 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; vitapool ; 3264 
 39 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 35 ; Папа любит ; 10404 
 40 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 71 ; luda ; 17320 
 41 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF- ; 44 ; mac. ; 15812 
 42 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 50 ; luda ; 17167 
 43 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 47 ; 1999 ; 15819 
 44 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; XF- ; 26 ; ruba ; 15500 
 45 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF ; 25 ; ruba ; 15606 
 46 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF ; 46 ; ruba ; 17578 
 47 ; 5 копеек ; 1783 ; КМ ; Cu ; XF+ ; 36 ; ruba ; 7960 
 48 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 7 ; Продано в зале ; 1900 
 49 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 2200 
 50 ; 5 копеек ; 1792 ; КМ ; Cu ; XF- ; 21 ; Папа любит ; 3800 
