 74 ; Рубль ; 1816 ; СПБ МФ ; Ag ; XF- ; 25 ; Gatchina ; 7652 
 75 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 32 ; Aleksey ; 5100 
 76 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 13 ; Глол ; 19000 
 77 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 17 ; Участник № 1168 ; 8200 
 78 ; 1 злотый ; 1818 ; IB Польша ; Ag ; VF-XF ; 20 ; Участник № 51 ; 7400 
 79 ; 3 гроша (Ильин-2,5р) ; 1818 ; IB Польша ; Cu ; VF- ; 17 ; Участник № 9 ; 4000 
 80 ; 5 рублей. М-6,49гр ; 1819 ; СПБ МФ ; Au ; VF+ ; 26 ; 4758 ; 55714 
 81 ; 20 копеек ; 1820 ; СПБ ПС ; Ag ; VF ; 9 ; ZOLTAN333 ; 623 
 82 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 13 ; Участник № 147 ; 4600 
 83 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 13 ; батя ; 4000 
 84 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF+ ; 39 ; Участник № 1168 ; 27000 
 85 ; 5 рублей ; 1826 ; СПБ ПД ; Au ; VF+ ; 40 ; 4758 ; 58000 
 86 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 42 ; 462 ; 8670 
 87 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 17 ; azef ; 4200 
 88 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; AU ; 31 ; Участник № 1 ; 2600 
 89 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF- ; 35 ; Sky2 ; 8087 
 90 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 13 ; Участник № 1179 ; 10500 
 91 ; Полтина ; 1830 ; СПБ НГ ; Ag ; VF ; 13 ; Участник № 9 ; 3600 
 92 ; Копейка ; 1831 ; СМ ; Cu ; F-VF ; 9 ; Участник № 23 ; 900 
 93 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF- ; 25 ; Участник № 1179 ; 10500 
