 128 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 24 ; verunk1 ; 5202 
 129 ; Копейка ; 1822 ; КМ АМ ; Cu ; VF-XF ; 22 ; Продано в зале ; 4000 
 130 ; 10 злотых ; 1824 ; IB Польша ; Ag ; VF ; 44 ; Янкель ; 74196 
 131 ; Копейка ; 1826 ; КМ АМ ; Cu ; VF-XF ; 33 ; Продано в зале ; 6000 
 132 ; Полтина ; 1826 ; СПБ НГ ; Ag ; XF+ ; 83 ; Продано в зале ; 165000 
 133 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 40 ; Продано в зале ; 18000 
 134 ; Рубль ; 1827 ; СПБ НГ ; Ag ; XF- ; 60 ; Продано в зале ; 37000 
 135 ; 5 рублей. М-6,54г ; 1829 ; СПБ ПД ; Au ; XF+ ; 31 ; Продано в зале ; 92000 
 136 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF+ ; 39 ; Продано в зале ; 32000 
 137 ; 5 копеек (Петров-2р) ; 1831 ; ЕМ ; Cu ; VF+ ; 37 ; Продано в зале ; 12000 
 138 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 19 ; Продано в зале ; 11000 
 139 ; 20 копеек ; 1835 ; СПБ НГ ; Ag ; VF+ ; 38 ; 125346 ; 3051 
 140 ; Полтина ; 1836 ; СПБ НГ ; Ag ; VF ; 30 ; serg2010 ; 3099 
 141 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 17 ; 125346 ; 2958 
 142 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; VF+ ; 9 ; Продано в зале ; 2100 
 143 ; 5 рублей. М-6,49г ; 1839 ; СПБ АЧ ; Au ; XF+ ; 34 ; 496 ; 45896 
 144 ; Полтина ; 1839 ; СПБ НГ ; Ag ; VF+ ; 13 ; Продано в зале ; 3300 
 145 ; 2 копейки ; 1840 ; СМ ; Cu ; XF- ; 25 ; Продано в зале ; 7800 
 146 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 15 ; DennisG ; 3264 
 147 ; 5 копеек ; 1841 ; СПБ НГ ; Ag ; VF- ; 44 ; dimon46 ; 7000 
 148 ; 2 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 13 ; Продано в зале ; 950 
 149 ; 2 копейки ; 1843 ; СМ ; Cu ; VF+ ; 17 ; Продано в зале ; 2000 
 150 ; 20 копеек ; 1845 ; СПБ КБ ; Ag ; XF ; 39 ; vvt ; 25000 
 51 ; Рубль ; 1759 ; СПБ ЯI TI ; Ag ; VF+ ; 42 ; Продано в зале ; 48000 
 52 ; Рубль ; 1762 ; СПБ НК ; Ag ; XF- ; 53 ; Продано в зале ; 62000 
 53 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF ; 45 ; Продано в зале ; 20000 
 54 ; Рубль ; 1762 ; ММД ДМ TI ; Ag ; VF-XF ; 23 ; Lisik ; 17850 
 55 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF-XF ; 29 ; Продано в зале ; 11000 
 56 ; Копейка ; 1763 ; ММ ; Cu ; VF- ; 55 ; Продано в зале ; 4500 
 57 ; Рубль (Петров-3р) ; 1764 ; ММД EI TI ; Ag ; XF- ; 24 ; Продано в зале ; 16000 
 58 ; Рубль ; 1764 ; ММД EI TI ; Ag ; VF ; 34 ; Продано в зале ; 12000 
 59 ; Рубль ; 1766 ; СПБ ЯI TI ; Ag ; XF ; 14 ; DennisG ; 14000 
 60 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; VF- ; 36 ; DennisG ; 19074 
