 5412 ; 10 шиллингов Великобритания ;  ;  ;  ;  ; 30 ; fillin ; 347 
 5413 ; Бона иностранная Свазиленд ;  ;  ;  ;  ; 11 ; sifirot ; 159 
 5414 ; Бона иностранная Биафра ;  ;  ;  ;  ; 33 ; Banderas ; 92 
 5415 ; Бона иностранная Индия ;  ;  ;  ;  ; 19 ; Monata ; 519 
 5416 ; Лот бон 2 шт. Индия ;  ;  ;  ;  ; 17 ; vlad27 ; 91 
 5417 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 25 ; Banderas ; 223 
 5418 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 23 ; sveta6369 ; 113 
 5419 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; vlad27 ; 62 
 5420 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 6 ; Drunja33 ; 31 
 5421 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 13 ; Drunja33 ; 37 
 5422 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 11 ; 557799 ; 46 
 5423 ; Бона иностранная Япония ;  ;  ;  ;  ; 32 ; vlad77 ; 332 
 5424 ; Бона иностранная Япония ;  ;  ;  ;  ; 17 ; gdrg2 ; 112 
 5425 ; Бона иностранная Япония ;  ;  ;  ;  ; 31 ; vlad77 ; 441 
 5426 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 13 ; gladkochub ; 230 
 5427 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 57 ; Lex2000 ; 576 
 5428 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 13 ; Lex2000 ; 95 
 5429 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 9 ; vlad27 ; 45 
 5430 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 9 ; Lex2000 ; 53 
 5431 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 5 ; Lex2000 ; 41 
 5432 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 7 ; 2128508 ; 106 
 5433 ; Лот бон Индонезия, 10 шт ;  ;  ;  ;  ; 22 ; pref ; 153 
 5434 ; Бона иностранная Китай ; 1928 ;  ;  ;  ; 6 ; Alexei ; 227 
 5435 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 18 ; Olimpia ; 612 
 5436 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 30 ; Olimpia ; 294 
 5437 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 54 ; Torro ; 612 
 5438 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 22 ; Olimpia ; 510 
 5439 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 14 ; Olimpia ; 408 
 5440 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 12 ; Torro ; 619 
 5441 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 8 ; Olimpia ; 105 
 5442 ; Бона иностранная Израиль ;  ;  ;  ;  ; 50 ; Torro ; 1313 
 5443 ; Бона иностранная Израиль ;  ;  ;  ;  ; 51 ; Torro ; 1134 
 5444 ; Бона иностранная Бирма ;  ;  ;  ;  ; 50 ; Monata ; 681 
 5445 ; Бона иностранная Бирма ;  ;  ;  ;  ; 40 ; Olimpia ; 454 
 5446 ; Бона иностранная Бирма ;  ;  ;  ;  ; 17 ; vlad77 ; 407 
 5447 ; Бона иностранная Албания ;  ;  ;  ;  ; 21 ; Torro ; 1290 
 5448 ; Бона иностранная Албания ;  ;  ;  ;  ; 13 ; Torro ; 1654 
 5449 ; Бона иностранная Парагвайц ;  ;  ;  ;  ; 21 ; Torro ; 2791 
 5450 ; 1 песо Куба.Образец ;  ;  ;  ;  ; 43 ; Lex2000 ; 688 
 5451 ; 5 песо Куба.Образец ;  ;  ;  ;  ; 31 ; Lex2000 ; 697 
 5452 ; 20 песо Куба.Образец ;  ;  ;  ;  ; 22 ; Lex2000 ; 1007 
 5453 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 16 ; Olimpia ; 255 
 5454 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 42 ; uhfvv7 ; 588 
 5355 ; 25 пенни Финляндия ; 1918 ;  ;  ; AU ; 46 ; Lex2000 ; 815 
 5356 ; 50 пенни Финляндия ; 1918 ;  ;  ; AU ; 44 ; svv ; 1095 
 5357 ; 2 перпера Черногория ;  ;  ;  ;  ; 45 ; себер ; 453 
 5358 ; Лот купонов Приднестровье, 5 шт ;  ;  ;  ;  ; 16 ; aleksander2015 ; 104 
 5359 ; Лот купонов Приднестровье, 4 шт ;  ;  ;  ;  ; 5 ; solder13 ; 118 
 5360 ; Бона иностранная Украина ;  ;  ;  ;  ; 21 ; Ratmen ; 1223 
 5361 ; Лот бон Беларусь, 9 шт ;  ;  ;  ;  ; 35 ; prostor.71 ; 91 
 5362 ; Бона иностранная Беларусь ;  ;  ;  ;  ; 22 ; 6x6 ; 253 
 5363 ; Лот бон 16 шт. Беларусь ;  ;  ;  ;  ; 26 ; prostor.71 ; 28 
 5364 ; Лот бон 2 шт. Украина ;  ;  ;  ; AU ; 19 ; MDV ; 553 
 5365 ; Бона иностранная. США ;  ;  ;  ;  ; 30 ; Sky2 ; 255 
 5366 ; Бона иностранная. США ;  ;  ;  ;  ; 15 ; Sky2 ; 255 
 5367 ; Бона иностранная. США ;  ;  ;  ;  ; 20 ; Моряк-собиратель ; 179 
 5368 ; Бона иностранная. США ;  ;  ;  ;  ; 13 ; феникс55 ; 143 
 5369 ; Бона иностранная. США ;  ;  ;  ;  ; 8 ; 333985 ; 197 
 5370 ; Бона иностранная. США ;  ;  ;  ;  ; 8 ; 333985 ; 198 
 5371 ; Чек США ; 1898 ;  ;  ;  ; 13 ; andrej888 ; 153 
 5372 ; Чек США ; 1899 ;  ;  ;  ; 8 ; andrej888 ; 153 
 5373 ; 500 шиллингов Австрия ; 1965 ;  ;  ;  ; 17 ; vlad77 ; 678 
 5374 ; 100 шиллингов Австрия ; 1960 ;  ;  ;  ; 34 ; Lex2000 ; 594 
 5375 ; 100 шиллингов Австрия ; 1969 ;  ;  ;  ; 16 ; vlad77 ; 262 
 5376 ; 50 шиллингов Австрия ; 1970 ;  ;  ;  ; 13 ; Torro ; 283 
 5377 ; 20 шиллингов Австрия ; 1967 ;  ;  ;  ; 15 ; жора ; 90 
 5378 ; Лот бон иностранных, 5 шт ;  ;  ;  ;  ; 11 ; 2128508 ; 370 
 5379 ; Бона иностранная Турция ;  ;  ;  ;  ; 14 ; gdrg2 ; 131 
 5380 ; Лот бон 4 шт. Венгрия ;  ;  ;  ;  ; 10 ; if-pechat ; 104 
 5381 ; Бона иностранная. Люксенбург ;  ;  ;  ;  ; 12 ; 333985 ; 208 
 5382 ; Бона иностранная. Дания ;  ;  ;  ;  ; 11 ; vlad27 ; 203 
 5383 ; Бона иностранная. Дания ;  ;  ;  ;  ; 11 ; Lex2000 ; 203 
 5384 ; Бона иностранная. Дания ;  ;  ;  ;  ; 12 ; vlad77 ; 227 
 5385 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; 6x6 ; 113 
 5386 ; Бона иностранная Гана ; 1978 ;  ;  ; AU ; 21 ; Lex2000 ; 161 
 5387 ; Бона иностранная Кувейт ;  ;  ;  ; AU ; 45 ; Banderas ; 170 
 5388 ; Бона иностранная Кувейт ;  ;  ;  ; AU ; 21 ; vlad77 ; 79 
 5389 ; Бона иностранная Кувейт ;  ;  ;  ; AU ; 7 ; alesjane ; 181 
 5390 ; Бона иностранная Кения ;  ;  ;  ; AU ; 14 ; СТРЕКОЗА ; 239 
 5391 ; Бона иностранная Кения ;  ;  ;  ; AU ; 26 ; sifirot ; 466 
 5392 ; Бона иностранная Кения ;  ;  ;  ; AU ; 13 ; Моряк-собиратель ; 206 
 5393 ; Бона иностранная Кения ;  ;  ;  ; AU ; 31 ; СТРЕКОЗА ; 458 
 5394 ; Бона иностранная Кения ;  ;  ;  ; AU ; 20 ; gladkochub ; 239 
 5395 ; Бона иностранная Гвинея-Биссау ;  ;  ;  ; AU ; 21 ; Lex2000 ; 579 
 5396 ; Бона иностранная Гвинея-Биссау ;  ;  ;  ; AU ; 19 ; vlad77 ; 255 
 5397 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 14 ; vlad77 ; 184 
 5398 ; Бона иностранная Куба ;  ;  ;  ; AU ; 28 ; fadeev.dima ; 200 
 5399 ; Бона иностранная Нидерландские Антилы ;  ;  ;  ; AU ; 19 ; Banderas ; 228 
 5400 ; Бона иностранная Саудовская Аравия ;  ;  ;  ; AU ; 38 ; Lex2000 ; 470 
 5401 ; Бона иностранная Китай ;  ;  ;  ;  ; 36 ; Olimpia ; 1020 
 5402 ; Бона иностранная Китай ;  ;  ;  ;  ; 30 ; S.P. ; 1000 
 5403 ; Бона иностранная Китай ;  ;  ;  ;  ; 19 ; Olimpia ; 1010 
 5404 ; Бона иностранная Китай ;  ;  ;  ;  ; 11 ; Alexei ; 228 
 5305 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; Trampl ; 438 
 5306 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; electra ; 159 
 5307 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; electra ; 157 
 5308 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; smel ; 225 
 5309 ; Бона иностранная Германия ;  ;  ;  ;  ; 41 ; Lex2000 ; 354 
 5310 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; Erzherzog ; 324 
 5311 ; Бона иностранная Германия ;  ;  ;  ;  ; 40 ; vlad77 ; 340 
 5312 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; vlad27 ; 152 
 5313 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; vlad77 ; 340 
 5314 ; Бона иностранная Германия ;  ;  ;  ;  ; 39 ; Lex2000 ; 379 
 5315 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; electra ; 114 
 5316 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; Майкл ; 204 
 5317 ; 50 марок Германия ; 1948 ;  ;  ;  ; 11 ; Fa1Con13 ; 79 
 5318 ; 5 марок Германия ; 1960 ;  ;  ; AU ; 22 ; Jek327 ; 565 
 5319 ; 10 марок Германия ; 1980 ;  ;  ;  ; 11 ; Torro ; 340 
 5320 ; 10 марок Германия ; 1993 ;  ;  ;  ; 12 ; Torro ; 346 
 5321 ; 10 марок Германия ; 1993 ;  ;  ;  ; 33 ; всыня ; 319 
 5322 ; 100 марок ГДР ; 1975 ;  ;  ;  ; 21 ; sifirot ; 454 
 5323 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; vlad77 ; 278 
