 100 ; 5 злотых ; 1831 ; KG Польша ; Ag ; XF ; 38 ; нумизмат ; 30000 
 1 ; 5 рублей. М-6,51г ; 1853 ; СПБ АГ ; Au ; AU/XF ; 37 ; Продано в зале ; 48000 
 2 ; 5 рублей. М-6,5 гр. ; 1854 ; СПБ АГ ; Au ; AU ; 34 ; Продано в зале ; 37000 
 3 ; 5 рублей. М-6,52гр ; 1874 ; СПБ НI ; Au ; AU ; 13 ; Продано в зале ; 42000 
 4 ; 5 рублей. М-6,54гр ; 1885 ; СПБ АГ Новый орел ; Au ; AU ; 36 ; картуш ; 115000 
 5 ; 5 рублей. М-6,46гр ; 1889 ; (АГ) Борода короче ; Au ; AU ; 38 ; каламбурчик ; 44800 
 6 ; 3 рубля-20 злотых. М-3,92гр ; 1834 ; СПБ ПД Рус.-Пол. ; Au ; VF-XF ; 48 ; paranoy ; 70000 
 7 ; 3 рубля. М-3,91 г ; 1872 ; СПБ НI ; Au ; AU ; 34 ; картуш ; 72420 
 8 ; Полтина. М-0,62гр ; 1777 ; "Для дворцового обихода" ; Au ; AU ; 56 ; Продано в зале ; 35000 
 9 ; Рубль (Петров-4р) ; 1720 ; OK ; Ag ; XF+ ; 41 ; Продано в зале ; 155000 
 10 ; Рубль ; 1720 ;  ; Ag ; XF- ; 29 ; Продано в зале ; 62000 
 11 ; Рубль ; 1721 ; K ; Ag ; XF+ ; 11 ; Продано в зале ; 88000 
 12 ; Рубль ; 1725 ;  ; Ag ; XF+ ; 31 ; Продано в зале ; 76000 
 13 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 39 ; Продано в зале ; 53000 
 14 ; Рубль (Петров-10р, Ильин-5р) ; 1725 ;  ; Ag ; XF- ; 10 ; Продано в зале ; 78000 
 15 ; Рубль ; 1725 ; СПБ ; Ag ; XF- ; 19 ; Trevor ; 76000 
 16 ; Рубль ; 1725 ; СПБ ; Ag ; VF-XF ; 32 ; aureo2 ; 43000 
 17 ; Рубль ; 1727 ;  ; Ag ; XF- ; 19 ; Продано в зале ; 72000 
 18 ; Рубль ; 1745 ; ММД ; Ag ; VF+ ; 32 ; Продано в зале ; 17000 
 19 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; XF ; 8 ; Продано в зале ; 32000 
 20 ; Рубль (Петров-3,5р, Ильин-3р) ; 1758 ; СПБ НК TI ; Ag ; XF+ ; 15 ; Продано в зале ; 86000 
 21 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF-XF ; 12 ; aureo2 ; 62000 
 22 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF-XF ; 25 ; Lisik ; 11375 
 23 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF- ; 21 ; Продано в зале ; 12000 
 24 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF+ ; 18 ; ervin ; 21000 
 25 ; Рубль. В капсуле NGC ; 1772 ; СПБ АШ TI ; Ag ; AU 53 ; 16 ; Продано в зале ; 16000 
 26 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF ; 20 ; Продано в зале ; 29000 
 27 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; AU ; 31 ; Продано в зале ; 32000 
 28 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF+ ; 16 ; Продано в зале ; 19000 
 29 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF+ ; 14 ; ДмитрийЩ ; 29580 
 30 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF ; 18 ; Trien ; 121380 
 31 ; Рубль ; 1871 ; СПБ HI ; Ag ; AU/XF ; 20 ; seaman 1 ; 34680 
 32 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF- ; 20 ; Продано в зале ; 36000 
 33 ; Рубль ; 1877 ; СПБ НФ ; Ag ; AU ; 28 ; Продано в зале ; 27000 
 34 ; Рубль ; 1880 ; СПБ НФ ; Ag ; AU ; 22 ; Продано в зале ; 24000 
 35 ; Рубль ; 1881 ; СПБ НФ ; Ag ; AU ; 25 ; Продано в зале ; 88000 
 36 ; Рубль ; 1891 ; (АГ) ; Ag ; XF+ ; 32 ; ДмитрийЩ ; 38457 
 37 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 28 ; Продано в зале ; 145000 
 38 ; Рубль ; 1904 ; (АР) ; Ag ; VF+ ; 19 ; картуш ; 52000 
 39 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 16 ; 78gen ; 105000 
 40 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 14 ; Продано в зале ; 66000 
 41 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 23 ; ДмитрийЩ ; 24000 
 42 ; 3/4 рубля-5 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; XF+ ; 34 ; Продано в зале ; 13000 
 43 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; XF- ; 34 ; Trevor ; 5235 
 44 ; Полтина (Петров-2,5р) ; 1739 ;  ; Ag ; VF-XF ; 23 ; картуш ; 25682 
 45 ; Полтина ; 1836 ; СПБ НГ ; Ag ; AU/XF ; 16 ; Продано в зале ; 48000 
 46 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 24 ; Продано в зале ; 8500 
 47 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 19 ; амбал ; 7933 
 48 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU ; 32 ; Продано в зале ; 17000 
 49 ; Полтина ; 1878 ; СПБ НФ ; Ag ; AU ; 29 ; Продано в зале ; 18000 
 50 ; Полтина ; 1894 ; (АГ) ; Ag ; XF/AU ; 25 ; Продано в зале ; 22000 
