 146 ; Рубль ; 1892 ; (АГ) ; Ag ; XF- ; 35 ; Сыч ; 15168 
 147 ; 5 копеек. Инкузный след от застрявшей в штемпеле монеты ; 1867-1917 ;  ; Cu ; VF+ ; 5 ; Участник № 222 ; 5200 
 148 ; Рубль ; 1896 ; ( * ) ; Ag ; XF/XF+ ; 210 ; kvp2318 ; 3800 
 149 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 19 ; Сыч ; 6222 
 150 ; Рубль. Гурт птичка и звездочка ; 1897 ; ( ** ) ; Ag ; VF+ ; 120 ; Участник № 186 ; 13000 
 51 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 59 ; Сыч ; 2719 
 52 ; 5 копеек. Легкая деформация ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 109 ; Sc ; 12954 
 53 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 33 ; Участник № 523 ; 210 
 54 ; 5 копеек. Редка ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 29 ; Sc ; 24707 
 55 ; 20 копеек (Ильин-5р) ; 1830 ; СПБ НГ ; Ag ; XF ; 27 ; Участник № 42 ; 13000 
 56 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 50 ; Сыч ; 5814 
 57 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 21 ; Участник № 9 ; 1400 
 58 ; 10 грошей ; 1831 ; KG Польша ; Ag ; AU ; 26 ; Участник № 222 ; 4000 
 59 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 41 ; dimon46 ; 1000 
 60 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 5 ; СВл ; 3572 
 61 ; 30 копеек-2 злотых ; 1835 ; MW Рус.-Пол. ; Ag ; XF+ ; 14 ; Участник № 222 ; 2600 
 62 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; XF- ; 36 ; dimon46 ; 3062 
 63 ; 30 копеек-2 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; XF+ ; 12 ; Участник № 222 ; 3200 
 64 ; 15 копеек-1 злотый ; 1836 ; MW Рус.-Пол. ; Ag ; AU ; 6 ; 4758 ; 1836 
 65 ; 30 копеек-2 злотых. Тип герба предыдущих лет ; 1837 ; MW Рус.-Пол. ; Ag ; AU/XF ; 12 ; Участник № 222 ; 2300 
 66 ; 30 копеек-2 злотых. Тип герба последующих лет ; 1837 ; MW Рус.-Пол. ; Ag ; XF+ ; 14 ; Участник № 222 ; 2400 
 67 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF+/XF- ; 5 ; toto ; 3411 
 68 ; 30 копеек-2 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; AU ; 18 ; Участник № 222 ; 2500 
 69 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; AU ; 15 ; Участник № 222 ; 3400 
 70 ; 15 копеек-1 злотый ; 1839 ; НГ Рус.-Пол. ; Ag ; AU ; 18 ; SSK ; 7650 
 71 ; 15 копеек-1 злотый ; 1840 ; НГ Рус.-Пол. ; Ag ; Unc ; 26 ; SSK ; 24000 
 72 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 43 ; Участник № 6 ; 6000 
