 5561 ; Бона иностранная. Бутан ;  ;  ;  ; AU ; 7 ; гудзон ; 35 
 5562 ; Бона иностранная. Шри - Ланка ;  ;  ;  ; AU ; 13 ; =SAD= ; 53 
 5563 ; Бона иностранная. Малайзия ;  ;  ;  ;  ; 16 ; hoop ; 36 
 5564 ; Бона иностранная. Малайзия ;  ;  ;  ;  ; 9 ; гудзон ; 38 
 5565 ; Бона иностранная. Саудовская  Аравия ;  ;  ;  ;  ; 9 ; гудзон ; 38 
 5566 ; Бона иностранная. Саудовская  Аравия ;  ;  ;  ;  ; 14 ; bsa300688 ; 60 
 5567 ; Бона иностранная. Саудовская  Аравия ;  ;  ;  ;  ; 11 ; doc2 ; 222 
 5568 ; Бона иностранная. Катар ;  ;  ;  ;  ; 5 ; птичка16 ; 69 
 5569 ; Бона иностранная. Катар ;  ;  ;  ;  ; 7 ; гудзон ; 172 
 5570 ; Бона иностранная. Сирия ;  ;  ;  ;  ; 20 ; ppp ; 161 
 5571 ; Бона иностранная. Сирия ;  ;  ;  ;  ; 20 ; doc2 ; 328 
 5572 ; Бона иностранная. Китай ;  ;  ;  ;  ; 11 ; пара ; 21 
 5573 ; Бона иностранная. Китай ;  ;  ;  ;  ; 16 ; =SAD= ; 37 
 5574 ; Бона иностранная. Китай ;  ;  ;  ;  ; 15 ; пара ; 60 
 5575 ; Бона иностранная. Китай ;  ;  ;  ;  ; 11 ; Gtm ; 200 
 5576 ; Бона иностранная. Китай ;  ;  ;  ;  ; 18 ; Yuraha76 ; 153 
 5577 ; Бона иностранная. Китай ;  ;  ;  ;  ; 25 ; прохожий ; 271 
 5478 ; Лот нотгельдов Германия 4 шт ; 1920 ;  ;  ;  ; 39 ; flutter ; 172 
 5479 ; Лот нотгельдов Германия 6 шт ; 1921 ;  ;  ;  ; 10 ; Ok203 ; 204 
 5480 ; Лот нотгельдов Германия 5 шт ; 1921 ;  ;  ;  ; 9 ; to-to ; 143 
 5481 ; Нотгельд Арвия ; 1920 ;  ;  ;  ; 26 ; Sammler ; 467 
 5482 ; Бона иностранная Германия ;  ;  ;  ;  ; 44 ; kotik309 ; 104 
 5483 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; Александр-78 ; 51 
 5484 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; kotik309 ; 34 
 5485 ; Бона иностранная Германия ;  ;  ;  ;  ; 66 ; kotik309 ; 104 
 5486 ; Бона Германия ;  ;  ;  ;  ; 43 ; cr3041 ; 89 
 5487 ; Бона Германия ;  ;  ;  ;  ; 30 ; cr3041 ; 199 
 5488 ; Лот бон Югославии 6 шт. ;  ;  ;  ;  ; 27 ; =SAD= ; 123 
 5489 ; 50 лев. Болгария ; 1951 ;  ;  ;  ; 30 ; Yuraha76 ; 79 
 5490 ; 200 лев. Болгария ; 1951 ;  ;  ;  ; 22 ; =SAD= ; 81 
 5491 ; Лот бон Гондураса 2 шт. ;  ;  ;  ;  ; 21 ; wwi.i ; 63 
 5492 ; Лот бон Эстонии 5 шт. ;  ;  ;  ;  ; 19 ; Маргаритка ; 89 
 5493 ; Лот бон Югославии  7 шт. ;  ;  ;  ;  ; 52 ; sotnik ; 313 
 5494 ; Лот бон Югославии 5 шт. ;  ;  ;  ;  ; 10 ; sotnik ; 65 
 5495 ; Лот бон иностранных 5 шт. ;  ;  ;  ;  ; 37 ; ZIMOGOR ; 93 
 5496 ; Лот бон иностранных 5 шт. ;  ;  ;  ;  ; 23 ; Snoop ; 79 
 5497 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 18 ; =SAD= ; 55 
 5498 ; Бона иностранная Босния и Герцеговина ;  ;  ;  ;  ; 17 ; 2128508 ; 31 
 5499 ; Лот бон Польши 2 шт. ;  ;  ;  ;  ; 3 ; страус ; 12 
 5500 ; 2 лева Болгария ;  ;  ;  ;  ; 9 ; Маргаритка ; 64 
 5501 ; 5 крон Швеция ; 1948 ;  ;  ;  ; 17 ; deasd ; 361 
 5502 ; 5 крон Швеция ; 1956 ;  ;  ; AU ; 15 ; AndreY$pb ; 227 
 5503 ; 5 крон Швеция ; 1960 ;  ;  ; AU ; 21 ; AndreY$pb ; 216 
 5504 ; 10 крон Швеция ; 1942 ;  ;  ;  ; 21 ; tss ; 204 
 5505 ; 10 крон Швеция ; 1943 ;  ;  ;  ; 15 ; tss ; 204 
 5506 ; 10 крон Швеция ; 1944 ;  ;  ;  ; 32 ; tss ; 237 
 5507 ; 10 крон Швеция ; 1945 ;  ;  ;  ; 19 ; tss ; 204 
 5508 ; 10 крон Швеция ; 1946 ;  ;  ;  ; 17 ; tss ; 230 
 5509 ; 10 крон Швеция ; 1947 ;  ;  ;  ; 19 ; alesjane ; 153 
