 83 ; Денга ; 1731 ;  ; Cu ; VF- ; 58 ; ADD ; 202 
 84 ; Денга ; 1735 ;  ; Cu ; VF- ; 38 ; gelind ; 47 
 85 ; Денга ; 1737 ;  ; Cu ; VF- ; 13 ; obob999 ; 46 
 86 ; Денга ; 1738 ;  ; Cu ; VF ; 28 ; skif ; 84 
 87 ; Денга ; 1749 ;  ; Cu ; VF+ ; 9 ; okotv ; 110 
 88 ; Денга ; 1753 ;  ; Cu ; VF ; 72 ; jl ; 93 
 89 ; 1/2 копейки ; 1840 ; СПМ  ; Cu ; F-VF ; 42 ; first ; 61 
 90 ; Денежка ; 1852 ; ЕМ  ; Cu ; F-VF ; 48 ; o.k. ; 75 
 91 ; 1/2 копейки ; 1897 ; СПБ  ; Cu ; VF ; 45 ; obob999 ; 69 
 92 ; 1/2 копейки ; 1898 ; СПБ  ; Cu ; VF+ ; 18 ; k-rolik ; 63 
 93 ; 1/2 копейки ; 1899 ; СПБ  ; Cu ; XF- ; 23 ; aleksius ; 46 
 94 ; 1/2 копейки ; 1909 ; СПБ  ; Cu ; XF ; 27 ; obob999 ; 57 
 95 ; 1/2 копейки ; 1910 ; СПБ  ; Cu ; XF ; 47 ; nikolay ; 140 
 96 ; 1/2 копейки ; 1911 ; СПБ  ; Cu ; VF+ ; 36 ; obob999 ; 46 
 97 ; 1/2 копейки ; 1912 ; СПБ  ; Cu ; AU ; 14 ; zero ; 174 
 98 ; 1/2 копейки ; 1913 ; СПБ  ; Cu ; XF+ ; 18 ; aleksius ; 68 
 99 ; 1/2 копейки ; 1915 ;  ; Cu ; AU ; 102 ; Алек ; 1041 
 100 ; Полушка ; 1731 ;  ; Cu ; VF- ; 72 ; gelind ; 96 
 101 ; Полушка ; 1735 ;  ; Cu ; VF ; 62 ; o.k. ; 128 
 102 ; Полушка ; 1738 ;  ; Cu ; VF- ; 16 ; SVE ; 93 
 1 ; Рубль. Гурт-убрана напайка 12 часов ; 1853 ; СПБ HI  ; Ag ; VF ; 81 ; партизан ; 4482 
 2 ; Полтина ; 1913 ; (ВС) АГ  ; Ag ; XF- ; 87 ; evgeniy679 ; 1489 
 3 ; 20 копеек ; 1868 ; СПБ HI  ; Ag ; VF ; 60 ; evgeniy679 ; 193 
 4 ; 20 копеек ; 1869 ; СПБ HI  ; Ag ; VF ; 67 ; evgeniy679 ; 215 
 5 ; 20 копеек ; 1880 ; СПБ НФ  ; Ag ; VF+ ; 53 ; evgeniy679 ; 286 
 6 ; 20 копеек ; 1905 ; СПБ АР  ; Ag ; VF+ ; 29 ; evgeniy679 ; 108 
 7 ; 20 копеек ; 1906 ; СПБ ЭБ  ; Ag ; VF+ ; 14 ; matrix ; 79 
 8 ; 20 копеек ; 1907 ; СПБ ЭБ  ; Ag ; VF+ ; 44 ; matrix ; 71 
 9 ; 20 копеек ; 1909 ; СПБ ЭБ  ; Ag ; VF+ ; 54 ; Маниакальный ; 55 
 10 ; 20 копеек ; 1911 ; СПБ ЭБ  ; Ag ; VF-XF ; 39 ; SVE ; 113 
 11 ; 20 копеек ; 1912 ; СПБ ЭБ  ; Ag ; VF+ ; 38 ; obob999 ; 51 
 12 ; 20 копеек ; 1913 ; СПБ ВС  ; Ag ; VF+ ; 57 ; skif ; 61 
 13 ; 20 копеек ; 1914 ; СПБ ВС  ; Ag ; AU ; 21 ; nikitarus ; 108 
 14 ; 20 копеек ; 1915 ; ВС  ; Ag ; AU ; 15 ; a-kul ; 250 
 15 ; 20 копеек ; 1916 ; ВС  ; Ag ; XF+ ; 67 ; evgeniy679 ; 101 
 16 ; 15 копеек ; 1861 ; СПБ  ; Ag ; VF+ ; 65 ; evgeniy679 ; 340 
 17 ; 15 копеек ; 1876 ; СПБ HI  ; Ag ; VF ; 33 ; evgeniy679 ; 192 
 18 ; 15 копеек ; 1905 ; СПБ АР  ; Ag ; VF ; 22 ; obob999 ; 28 
 19 ; 15 копеек ; 1907 ; СПБ ЭБ  ; Ag ; VF+ ; 36 ; evgeniy679 ; 101 
 20 ; 15 копеек ; 1908 ; СПБ ЭБ  ; Ag ; VF-XF ; 42 ; Маниакальный ; 132 
 21 ; 15 копеек ; 1912 ; СПБ ЭБ  ; Ag ; VF+ ; 47 ; obob999 ; 53 
 22 ; 15 копеек ; 1913 ; СПБ ВС  ; Ag ; XF ; 16 ; evgeniy679 ; 70 
 23 ; 15 копеек ; 1914 ; СПБ ВС  ; Ag ; VF+ ; 34 ; obob999 ; 46 
 24 ; 15 копеек ; 1915 ; ВС  ; Ag ; AU ; 39 ; Алек ; 252 
 25 ; 10 копеек ; 1861 ; СПБ  ; Ag ; VF ; 73 ; evgeniy679 ; 235 
 26 ; 10 копеек ; 1903 ; СПБ АР  ; Ag ; F-VF ; 16 ; obob999 ; 21 
 27 ; 10 копеек ; 1905 ; СПБ АР  ; Ag ; F-VF ; 45 ; Волк ; 55 
 28 ; 10 копеек ; 1909 ; СПБ ЭБ  ; Ag ; VF+ ; 15 ; Волк ; 63 
 29 ; 10 копеек ; 1910 ; СПБ ЭБ  ; Ag ; VF ; 26 ; obob999 ; 25 
 30 ; 10 копеек ; 1911 ; СПБ ЭБ  ; Ag ; XF- ; 20 ; jl ; 21 
 31 ; 10 копеек ; 1913 ; СПБ ВС  ; Ag ; VF-XF ; 20 ; obob999 ; 23 
 32 ; 10 копеек ; 1914 ; СПБ ВС  ; Ag ; VF-XF ; 49 ; obob999 ; 43 
 33 ; 10 копеек ; 1915 ; ВС  ; Ag ; XF+ ; 42 ; Алек ; 137 
 34 ; 50 пенни ; 1916 ; S Финляндия  ; Ag ; XF+ ; 32 ; gutun ; 128 
 35 ; 50 пенни ; 1917 ; S Финляндия. Без короны  ; Ag ; AU ; 62 ; skir ; 261 
 36 ; 25 пенни ; 1916 ; S Финляндия  ; Ag ; XF+ ; 50 ; gutun ; 101 
 37 ; 25 пенни ; 1917 ; S Финляндия. Без короны  ; Ag ; AU ; 29 ; skir ; 157 
 40 ; Копейка ; 1613-1645 ; Михаил Федорович Московский де ;  ; VF ; 25 ; anubis_lex ; 157 
