 6504 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 9 ; Вячеслав58 ; 82 
 6505 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 19 ; $круджЪ ; 587 
 6506 ; Каталог-справочник. Монеты Беларуси 1996-2013 гг. Редакция 4, 2013 год ;  ;  ;  ;  ; 27 ; Bankomat ; 51 
 6507 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 19 ; sandau ; 68 
 6508 ; Каталог-справочник. Монеты Киргизии, Таджикистана, Туркменистана и Узбекистана. Редакция 1, 2019 год ;  ;  ;  ;  ; 15 ; СТРЕКОЗА ; 74 
 6509 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2016 гг. Редакция 4, 2016 год ;  ;  ;  ;  ; 32 ; az717 ; 46 
 6510 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год ;  ;  ;  ;  ; 33 ; didisister ; 40 
 6511 ; В .П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 16 ; gdrg2 ; 104 
 6512 ; Клады в вашем доме ;  ;  ;  ;  ; 19 ; az717 ; 42 
 6513 ; Открытки к 200-летию Петербурга. С. С. Мяник ;  ;  ;  ;  ; 12 ; архыз ; 104 
 6514 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 57 ; AGA ; 96 
 6515 ; Сборник коллекционных аукционов  «Конрос» N11 – 16, 2002 год, с результатами ;  ;  ;  ;  ; 27 ; niki ; 201 
 6516 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион  141. 19 июня 2008г ;  ;  ;  ;  ; 13 ; Affliction ; 152 
 6517 ; Аукционный каталог RAUCH. 18/19 сентября 2009г ;  ;  ;  ;  ; 13 ; Affliction ; 156 
 6518 ; Аукционный каталог RAUCH. Аукцион 81. 23 и 24 ноября 2007г ;  ;  ;  ;  ; 11 ; Affliction ; 157 
 6519 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 159. 29-30 сентября 2009г ;  ;  ;  ;  ; 11 ; Affliction ; 156 
 6520 ; Аукционный каталог HESSE-DIVO AG. Аукцион 311. 22 октября 2008г ;  ;  ;  ;  ; 5 ; Affliction ; 156 
 6521 ; Двести лет истории Гознака. Музей истории денег АО "Гознак". 2018г ;  ;  ;  ;  ; 20 ; 444444 ; 294 
 6522 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург ; 2019 ;  ;  ;  ; 8 ; klok ; 306 
 6523 ; Ежемесячный научно-производственный журнал Министерства сельского хозяйства. Охота и охотничье хозяйства №3 1957г ;  ;  ;  ;  ; 52 ; РО ; 930 
 6524 ; Аукционный каталог ASTA XXVIII. 10 и 11 апреля 2010г ;  ;  ;  ;  ; 9 ; б52 ; 163 
 6525 ; Ежемесячный научно-производственный журнал Министерства сельского хозяйства. Охота и охотничье хозяйства №6 1958г ;  ;  ;  ;  ; 65 ; РО ; 930 
 6526 ; Ежемесячный научно-производственный журнал Министерства сельского хозяйства. Охота и охотничье хозяйства №7 1959г ;  ;  ;  ;  ; 50 ; РО ; 930 
 6527 ; Аукционный каталог La Galerie Numismatique Bogdan Stambuliu. Аукцион XV. 16 мая 2010г ;  ;  ;  ;  ; 19 ; klok ; 416 
 6528 ; Аукционный каталог Millennia Cjllection. 26 мая 2008г ;  ;  ;  ;  ; 5 ; Affliction ; 159 
 6529 ; Аукционный каталог Freeman. 15 декабря 2009г ;  ;  ;  ;  ; 5 ; Affliction ; 159 
 6530 ; Журнал антик.инфо №12/13. январь/февраль 2004г ;  ;  ;  ;  ; 10 ; архыз ; 101 
 6531 ; Аукционный каталог A. TKALEC AG. 27 октября 2011г ;  ;  ;  ;  ; 7 ; Affliction ; 163 
 6532 ; От Керенки до Совзнака деньги и революция. Музей истории денег АО "Гознак". 2017г ;  ;  ;  ;  ; 34 ; yuri.gruzdev ; 567 
 6533 ; Журнал банкноты Мира №4 (58) 2019г ;  ;  ;  ;  ; 17 ; архыз ; 340 
 6534 ; Журнал антик.инфо №17. июнь 2004г ;  ;  ;  ;  ; 11 ; архыз ; 101 
 6435 ; Капсулы для монет – 33 мм, упаковка 10 шт. Россия ;  ;  ;  ;  ; 23 ; AGA ; 155 
