 6458 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 17 ; Markgraf ; 97 
 6459 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 17 ; л842 ; 95 
 6460 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 33 ; 13дим13 ; 152 
 6461 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 31 ; chingizhan ; 149 
 6462 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 33 ; chingizhan ; 149 
 6314 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; Рисковый ; 48 
 6315 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; Рисковый ; 58 
 6316 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; Рисковый ; 48 
 6317 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; Рисковый ; 48 
 6318 ; Почтовая карточка. Крымъ ;  ;  ;  ;  ; 18 ; Рисковый ; 145 
 6319 ; Почтовая карточка. Крымъ ;  ;  ;  ;  ; 7 ; Рисковый ; 48 
 6320 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; фрегат ; 153 
 6321 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; фрегат ; 153 
 6322 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; фрегат ; 153 
 6323 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; фрегат ; 153 
 6324 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 25 ; krass ; 280 
 6325 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; фрегат ; 153 
 6326 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; фрегат ; 153 
 6327 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 4 ; Meshok ; 140 
 6328 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 4 ; Meshok ; 140 
 6329 ; Лот открыток в буклете "В. Суриков" (12 штук) ;  ;  ;  ;  ; 32 ; Meshok ; 125 
 6330 ; Лот открыток в буклете "Иллюстрации к сказкам Ш.Перро" (16 штук) ;  ;  ;  ;  ; 15 ; Meshok ; 126 
 6331 ; Лот открыток в буклете "История коробля" (32 открытки, полный набор, 2й выпуск) ;  ;  ;  ;  ; 31 ; maymuse ; 208 
