 175 ; 1,5 рубля-10 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; XF- ; 31 ; Участник № 133 ; 12000 
 176 ; 3/4 рубля-5 злотых (Ильин-3р) ; 1834 ; НГ Рус.-Пол. ; Ag ; VF- ; 7 ; Участник № 30 ; 1600 
 177 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; VF+ ; 41 ; TDN ; 5102 
 178 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; VF+ ; 8 ; Alexdav ; 7500 
 179 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF+ ; 23 ; laserjet ; 2026 
 180 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; XF ; 29 ; Участник № 147 ; 2000 
 181 ; 1,5 рубля-10 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF ; 27 ; TDN ; 5102 
 182 ; 1,5 рубля-10 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF+ ; 27 ; батя ; 12472 
 183 ; 3/4 рубля-5 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF+ ; 18 ; Aleksey ; 1875 
 184 ; 30 копеек-2 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 16 ; SadKo ; 843 
 185 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 20 ; Участник № 62 ; 2400 
 186 ; 2 копейки ; 1837 ; ЕМ НА ; Cu ; XF- ; 19 ; Сыч ; 918 
 187 ; Копейка ; 1837 ; ЕМ НА ; Cu ; AU ; 29 ; Участник № 147 ; 5000 
 188 ; 1,5 рубля-10 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF ; 27 ; TDN ; 5600 
 189 ; 3/4 рубля-5 злотых ; 1837 ; НГ Рус.-Пол. ; Ag ; XF- ; 18 ; Участник № 30 ; 6500 
 190 ; 30 копеек-2 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; XF ; 7 ; Участник № 51 ; 7000 
 191 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 10 ; Участник № 9 ; 4200 
 192 ; 2 копейки ; 1838 ; СМ ; Cu ; VF+ ; 19 ; fikus ; 1838 
 193 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF- ; 67 ; antiquar ; 2601 
 194 ; 1/2 копейки ; 1839 ; СМ ; Cu ; VF+ ; 12 ; ЛОШАРИК ; 2279 
 195 ; 1/4 копейки ; 1839 ; СМ ; Cu ; VF ; 121 ; Участник № 18 ; 5500 
 196 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF ; 36 ; TDN ; 1514 
 197 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 19 ; Участник № 51 ; 2800 
 198 ; 2 копейки ; 1840 ; СПМ ; Cu ; XF ; 33 ; Участник № 30 ; 3400 
 199 ; Копейка ; 1840 ; ЕМ ; Cu ; AU ; 20 ; Участник № 51 ; 5600 
 200 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; AU/XF ; 9 ; Участник № 51 ; 1900 
 101 ; 5 копеек (Ильин-3р) ; 1779 ; ЕМ ; Cu ; VF ; 25 ; Участник № 9 ; 6500 
 102 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 27 ; батя ; 15300 
 103 ; Рубль ; 1781 ; СПБ ИЗ ; Ag ; XF- ; 9 ; Участник № 51 ; 14500 
 104 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 31 ; aang ; 6000 
 105 ; 5 копеек ; 1783 ; ЕМ ; Cu ; XF- ; 7 ; Участник № 51 ; 1200 
