 5512 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 57 ; Lex2000 ; 147 
 5513 ; Бона иностранная Германия ;  ;  ;  ; AU ; 28 ; Lex2000 ; 216 
 5514 ; Бона иностранная. Япония ;  ;  ;  ;  ; 18 ; cr3041 ; 92 
 5515 ; Бона иностранная Чехословакия, в буклете ;  ;  ;  ;  ; 19 ; sos1 ; 278 
 5516 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 12 ; Anat-tall ; 155 
 5517 ; Бона 1000 песет. Испания ;  ;  ;  ;  ; 5 ; всыня ; 152 
 5518 ; Бона 10 злотых. Польша ;  ;  ;  ;  ; 11 ; трутень ; 126 
 5519 ; Бона иностранная. Франция ;  ;  ;  ;  ; 17 ; volkova21 ; 152 
 5520 ; Бона иностранная. Гонконг ;  ;  ;  ;  ; 9 ; гус4 ; 114 
 5521 ; Бона иностранная. Польша ;  ;  ;  ;  ; 32 ; Атлантик ; 138 
 5522 ; Бона иностранная. Польша ;  ;  ;  ;  ; 32 ; asus ; 206 
 5523 ; Бона иностранная. Польша ;  ;  ;  ;  ; 18 ; Атлантик ; 144 
 5524 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; ppp ; 152 
 5525 ; Бона иностранная. Польша ;  ;  ;  ;  ; 20 ; diskus72 ; 167 
 5526 ; Бона иностранная. Марокко ;  ;  ;  ;  ; 5 ; гудзон ; 102 
 5527 ; Бона иностранная. Марокко ;  ;  ;  ;  ; 38 ; Моряк-собиратель ; 542 
 5528 ; Бона иностранная. Марокко ;  ;  ;  ;  ; 15 ; Lex2000 ; 341 
 5529 ; Бона иностранная. Марокко ;  ;  ;  ;  ; 7 ; Моряк-собиратель ; 405 
 5530 ; Бона иностранная. Никарагуа ;  ;  ;  ;  ; 12 ; UnPreacher ; 30 
 5531 ; Бона иностранная. Никарагуа ;  ;  ;  ;  ; 15 ; CASABLANCA ; 100 
 5532 ; Бона иностранная. Никарагуа ;  ;  ;  ;  ; 9 ; msgmit ; 104 
 5533 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 5 ; 2128508 ; 79 
 5534 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 6 ; jj ; 99 
 5535 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 3 ; jj ; 79 
 5536 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 8 ; трутень ; 102 
 5537 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 5 ; 2128508 ; 78 
 5538 ; Бона иностранная. Грузия ;  ;  ;  ;  ; 5 ; трутень ; 101 
 5539 ; Лот бон. Китай ( 6шт.) ;  ;  ;  ;  ; 49 ; Maxim914 ; 150 
 5540 ; Бона иностранная. Танзания ;  ;  ;  ;  ; 13 ; 4758 ; 133 
 5441 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 18 ; SKH ; 61 
 5442 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 23 ; 4758 ; 44 
 5443 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 10 ; 4758 ; 47 
 5444 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 6 ; Chacabuco ; 34 
 5445 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 14 ; arcadymer ; 36 
 5446 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 9 ; гудзон ; 34 
 5447 ; Бона иностранная. Перу ;  ;  ;  ;  ; 27 ; Димон777 ; 220 
 5448 ; Бона иностранная. Перу ;  ;  ;  ;  ; 19 ; Chacabuco ; 125 
 5449 ; Бона иностранная. Перу ;  ;  ;  ;  ; 9 ; heavy_fly ; 101 
 5450 ; Бона иностранная. Перу ;  ;  ;  ;  ; 13 ; 4758 ; 91 
 5451 ; Бона иностранная. Перу ;  ;  ;  ;  ; 20 ; heavy_fly ; 101 
 5452 ; Бона иностранная. Перу ;  ;  ;  ;  ; 11 ; heavy_fly ; 101 
 5453 ; Бона иностранная. Перу ;  ;  ;  ;  ; 16 ; heavy_fly ; 101 
 5454 ; Бона иностранная. Перу ;  ;  ;  ;  ; 11 ; heavy_fly ; 101 
 5455 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; heavy_fly ; 101 
 5456 ; Бона иностранная. Перу ;  ;  ;  ;  ; 13 ; gladkochub ; 114 
 5457 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; heavy_fly ; 101 
 5458 ; Бона иностранная. Перу ;  ;  ;  ;  ; 17 ; Chacabuco ; 124 
 5459 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 7 ; гус4 ; 42 
 5460 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 42 ; Fliege1 ; 465 
 5461 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 17 ; SKH ; 31 
 5462 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 9 ; CASABLANCA ; 30 
 5463 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 3 ; страус ; 30 
 5464 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 6 ; class ; 33 
 5465 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 13 ; Атлантик ; 36 
 5466 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 6 ; SER 888 ; 30 
 5467 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 6 ; SER 888 ; 30 
 5468 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 6 ; SER 888 ; 30 
 5469 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 9 ; coins_hunter ; 31 
 5470 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 9 ; SER 888 ; 30 
 5471 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 39 ; alesjane ; 180 
 5472 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 15 ; teso ; 129 
 5473 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 13 ; teso ; 80 
 5474 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 7 ; Атлантик ; 31 
 5475 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 7 ; CASABLANCA ; 50 
 5476 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 7 ; 4758 ; 29 
 5477 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 13 ; sub215 ; 41 
 5478 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 5 ; Атлантик ; 30 
 5479 ; Бона иностранная. Малави ;  ;  ;  ;  ; 7 ; Атлантик ; 31 
 5480 ; Бона иностранная. Малави ;  ;  ;  ;  ; 11 ; гудзон ; 99 
 5481 ; Бона иностранная. Малави ;  ;  ;  ;  ; 13 ; гудзон ; 99 
 5482 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 18 ; Chacabuco ; 101 
 5483 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 23 ; dmivanych ; 101 
 5484 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 8 ; 4758 ; 41 
 5485 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 22 ; Chacabuco ; 90 
 5486 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 8 ; Вадим Скифский ; 39 
 5487 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 22 ; SKH ; 63 
 5488 ; Бона иностранная. Иран ;  ;  ;  ;  ; 9 ; SER 888 ; 30 
 5489 ; Бона иностранная. Иран ;  ;  ;  ;  ; 21 ; air ; 264 
 5490 ; Бона иностранная. Иран ;  ;  ;  ;  ; 24 ; 4758 ; 114 
 5391 ; 10 лит Литва ; 2007 ;  ;  ;  ; 7 ; sts ; 179 
 5392 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 39 ; gladkochub ; 134 
 5393 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 24 ; Andreyspb ; 153 
 5394 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 41 ; Lex2000 ; 264 
 5395 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 25 ; volkova21 ; 179 
 5396 ; Бона иностранная Багамские о-ва ; 2001 ;  ;  ; AU ; 44 ; vfuflfy49 ; 308 
 5397 ; Бона иностранная Греция ; 1939 ;  ;  ;  ; 9 ; ufa ; 114 
 5398 ; 100 крон Чехословакия ; 1961 ;  ;  ;  ; 29 ; Атлантик ; 94 
 5399 ; Бона иностранная США ;  ;  ;  ;  ; 16 ; num ; 2833 
 5400 ; Бона иностранная Эквадор ; 1980 ;  ;  ;  ; 17 ; 2128508 ; 69 
 5401 ; 50000 злотых Польша ; 1993 ;  ;  ;  ; 32 ; asus ; 193 
 5402 ; 20 злотых Польша ; 1982 ;  ;  ;  ; 19 ; жора ; 99 
 5403 ; 1000 динар Югославия ; 1963 ;  ;  ; AU ; 57 ; Alekss_27 ; 197 
 5404 ; Бона иностранная Тайланд ;  ;  ;  ;  ; 13 ; drmpavlov ; 324 
 5405 ; Бона иностранная Камбоджа ;  ;  ;  ; AU ; 16 ; SKH ; 39 
 5406 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 29 ; SKH ; 62 
 5407 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 25 ; трутень ; 87 
 5408 ; Бона иностранная Эритрия ; 1997 ;  ;  ; AU ; 15 ; CASABLANCA ; 102 
 5409 ; Бона иностранная Турция ; 1970 ;  ;  ; AU ; 18 ; Ssid ; 136 
 5410 ; Бона иностранная Тунис ;  ;  ;  ;  ; 7 ; Моряк-собиратель ; 204 
 5411 ; Бона иностранная Греция ;  ;  ;  ;  ; 10 ; diskus72 ; 102 
 5412 ; 1 доллар США ; 1935 ;  ;  ;  ; 46 ; Lex2000 ; 419 
 5413 ; Лот бон США 2 шт ; 1953-57 ;  ;  ;  ; 43 ; boroda ; 500 
 5414 ; 2 доллара США ; 2009 ;  ;  ; AU ; 27 ; Valery6776 ; 169 
 5415 ; Бона иностранная Румыния ; 1998 ;  ;  ;  ; 11 ; CASABLANCA ; 65 
 5416 ; Бона иностранная Эстония ; 1992 ;  ;  ;  ; 9 ; Атлантик ; 16 
 5417 ; Бона иностранная Литва ;  ;  ;  ; AU ; 32 ; 462 ; 416 
 5418 ; Бона иностранная Британская армия ;  ;  ;  ; AU ; 13 ; cboker ; 38 
 5419 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 13 ; SKH ; 62 
 5420 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 6 ; Вадим Скифский ; 33 
 5421 ; Бона иностранная Суринам ;  ;  ;  ; AU ; 10 ; CASABLANCA ; 73 
 5422 ; Бона 50 бат. Таиланд ;  ;  ;  ; AU ; 26 ; Andreyspb ; 269 
 5423 ; Бона 500 000 рублей. Беларусь ; 1998 ;  ;  ; AU ; 82 ; strutikut ; 1701 
 5424 ; Бона 10 000 рублей. Беларусь ; 2000 ;  ;  ;  ; 5 ; coins_hunter ; 62 
 5425 ; Бона 50 000 рублей. Беларусь ; 1995 ;  ;  ;  ; 9 ; strutikut ; 133 
 5426 ; Бона 100 драхм. Греция ;  ;  ;  ;  ; 5 ; Вадим Скифский ; 41 
 5427 ; Лот нотгельдов Германия 7 шт ;  ;  ;  ;  ; 34 ; sos1 ; 378 
 5428 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 27 ; sos1 ; 327 
 5429 ; Лот нотгельдов Германия 7 шт ;  ;  ;  ;  ; 30 ; sos1 ; 329 
 5430 ; Лот нотгельдов ( 50шт.) ;  ;  ;  ;  ; 33 ; Ok203 ; 1733 
 5431 ; Лот нотгельдов ( 80шт.) ;  ;  ;  ;  ; 29 ; Ok203 ; 2753 
 5432 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 32 ; flutter ; 273 
 5433 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 12 ; vladmarkin ; 204 
 5434 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 12 ; flutter ; 318 
 5435 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 17 ; flutter ; 263 
 5436 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 17 ; flutter ; 263 
 5437 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 15 ; flutter ; 204 
 5438 ; Бона иностранная. Гана ;  ;  ;  ;  ; 10 ; vladmarkin ; 41 
 5439 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 14 ; птичка16 ; 100 
 5440 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 29 ; птичка16 ; 488 
 5341 ; 1000 эскудо Португалия ; 1980 ;  ;  ;  ; 26 ; ZIMOGOR ; 216 
 5342 ; 20 крон Дания ; 1972 ;  ;  ;  ; 40 ; птичка16 ; 480 
 5343 ; 10 крон Дания ; 1972 ;  ;  ;  ; 13 ; птичка16 ; 225 
 5344 ; 1 фунт Англия ;  ;  ;  ;  ; 14 ; alesjane ; 124 
 5345 ; 1 фунт Англия ;  ;  ;  ;  ; 22 ; ZIMOGOR ; 129 
 5346 ; 2 кроны Австрия ; 1922 ;  ;  ;  ; 19 ; SKH ; 66 
 5347 ; 1 крона Австрия ; 1922 ;  ;  ;  ; 14 ; жора ; 60 
 5348 ; Лот нотгельдов 30 шт ;  ;  ;  ;  ; 30 ; Ok203 ; 800 
 5349 ; Лот нотгельдов 20 шт ;  ;  ;  ;  ; 33 ; Ok203 ; 608 
 5350 ; Лот нотгельдов 30 шт ;  ;  ;  ;  ; 42 ; Ok203 ; 918 
 5351 ; Нотгельд  Коньчице/Польша ; 1923 ;  ;  ;  ; 19 ; boca ; 518 
 5352 ; Нотгельд Германия ;  ;  ;  ;  ; 22 ; SKH ; 53 
 5353 ; Нотгельд Германия ;  ;  ;  ;  ; 10 ; SKH ; 57 
 5354 ; Лот нотгельдов Германия 8 шт ;  ;  ;  ;  ; 24 ; Ok203 ; 456 
 5355 ; Лот нотгельдов Германия 22 шт ;  ;  ;  ;  ; 18 ; Ok203 ; 680 
 5356 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 20 ; torus72 ; 385 
 5357 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 20 ; Ok203 ; 329 
