 39 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 31 ; ZOLTAN 333 ; 2800 
 40 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 40 ; CapsulЪ ; 8000 
 41 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 29 ; CapsulЪ ; 2355 
 42 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 33 ; A-antik ; 2000 
 43 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 23 ; A-antik ; 1500 
 44 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 29 ; A-antik ; 2000 
 45 ; 10 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 19 ; Продано в зале ; 3400 
 46 ; 5 копеек ; 1816 ; СПБ ПС ; Ag ; XF ; 16 ; electra ; 2200 
 47 ; 5 копеек ; 1820 ; СПБ ПД ; Ag ; XF+ ; 120 ; pilot2371 ; 13466 
 48 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 36 ; electra ; 2800 
 49 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 61 ; ААФ ; 2725 
 50 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 35 ; ААФ ; 2844 
