 192 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 30 ; max7421 ; 9500 
 193 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 15 ; Участник № 1127 ; 3000 
 194 ; 10 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 9 ; Участник № 222 ; 3400 
 195 ; 10 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 27 ; max7421 ; 17034 
 196 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 18 ; AVA01 ; 15300 
 197 ; Рубль ; 1876 ; СПБ HI ; Ag ; VF+ ; 17 ; Участник № 133 ; 12000 
 198 ; 25 копеек. Редкая датировка ; 1876 ; СПБ HI ; Ag ; VF+ ; 27 ; HSS ; 20682 
 199 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 43 ; Участник № 1127 ; 2100 
 200 ; 15 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 15 ; Глол ; 4590 
 101 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 17 ; ZOLTAN333 ; 4647 
 102 ; Рубль. Ошибка, гуртовая надпись 28 14/25 ; 1817 ; СПБ ПС ; Ag ; VF ; 27 ; Участник № 1 ; 22000 
 103 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF- ; 17 ; Участник № 9 ; 5500 
 104 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; XF+ ; 25 ; Глол ; 3060 
 105 ; Копейка ; 1819 ; КМ АД ; Cu ; VF+ ; 11 ; SSK ; 680 
 106 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF- ; 26 ; hummer ; 1200 
 107 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; VF+ ; 19 ; тнн ; 816 
 108 ; Копейка ; 1821 ; КМ АМ ; Cu ; VF+ ; 13 ; HSS ; 3162 
 109 ; 10 злотых ; 1823 ; IB Польша ; Ag ; VF+ ; 44 ; Участник № 51 ; 150000 
 110 ; Полтина ; 1826 ; СПБ НГ ; Ag ; VF+ ; 23 ; Участник № 51 ; 15500 
 111 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 23 ; Конрос бид 32 ; 4896 
 112 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 25 ; PSP ; 4082 
 113 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF- ; 28 ; Basilio ; 9180 
 114 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF- ; 25 ; Участник № 133 ; 3600 
