 1143 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; Unc ; 12 ; Продано в зале ; 4000 
 1144 ; 20 копеек ; 1917 ; ВС ; Ag ; Unc/AU ; 39 ; Продано в зале ; 52000 
 1145 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF- ; 1 ; mac ; 8000 
 1146 ; 15 копеек ; 1787 ; СПБ ; Ag ; XF ; 11 ; sail ; 13266 
 1147 ; 15 копеек-1 злотый ; 1836 ; MW Рус.-Пол. ; Ag ; XF ; 9 ; verunk1 ; 3400 
 1148 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; XF ; 14 ; verunk1 ; 5200 
 1049 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF+ ; 9 ; Продано в зале ; 20000 
 1050 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; AU ; 3 ; Продано в зале ; 23000 
 1051 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; AU ; 43 ; Алексей Викторович ; 40588 
 1052 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF+ ; 5 ; Ионыч ; 22667 
 1053 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; AU ; 6 ; Продано в зале ; 37000 
 1054 ; Рубль ; 1771 ; СПБ АШ TI ; Ag ; XF+ ; 9 ; Продано в зале ; 28000 
 1055 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF+ ; 3 ; luda ; 21534 
 1056 ; Рубль ; 1781 ; СПБ ИЗ ; Ag ; XF+ ; 5 ; Продано в зале ; 32000 
 1057 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF ; 3 ; Basilio ; 24990 
 1058 ; Рубль ; 1796 ; БМ ; Ag ; VF+ ; 8 ; Продано в зале ; 380000 
 1059 ; Рубль ; 1797 ; СМ ФЦ ; Ag ; XF/XF+ ; 1 ; Продано в зале ; 270000 
 1060 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF- ; 17 ; Продано в зале ; 20000 
