 75 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; F-VF ; 34 ; 27477 ; 7008 
 76 ; Рубль (Ильин-10р) ; 1807 ; СПБ ФГ ; Ag ; VF- ; 48 ; Продано в зале ; 8500 
 77 ; Рубль ; 1808 ; СПБ МК ; Ag ; VF-XF ; 39 ; ААФ ; 16556 
 78 ; Полтина (Петров-3р, Ильин-3р) ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 35 ; арбат ; 35700 
 79 ; 2 копейки (Петров-1р, Ильин-8р) ; 1810 ; СПБ ПС ; Cu ; VF- ; 44 ; Продано в зале ; 14500 
 80 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF+ ; 11 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 1002 
 81 ; 2 копейки (Петров-7р, Ильин-5р) ; 1814 ; СПБ ПС ; Cu ; F-VF ; 36 ; OMT ; 6687 
 82 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 23 ; timan777 ; 16524 
 83 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 20 ; алтын ; 8000 
 84 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF+ ; 44 ; OMT ; 5600 
 85 ; Рубль ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 16 ; leo 2 ; 4593 
 86 ; 2 копейки ; 1823 ; ЕМ ФГ ; Cu ; VF+ ; 14 ; capraz ; 700 
 87 ; Рубль ; 1824 ; СПБ ПД ; Ag ; VF-XF ; 18 ; taa ; 4587 
 88 ; Рубль ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 40 ; OMT ; 12852 
 89 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 19 ; XXXXX ; 6566 
 90 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 50 ; Продано в зале ; 3800 
 91 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+/XF ; 23 ; verunk1 ; 18666 
 92 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 37 ; Продано в зале ; 6500 
 93 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 45 ; serg2010 ; 8369 
 94 ; 20 копеек (Ильин-6р) ; 1831 ; СПБ НГ ; Ag ; VF- ; 46 ; 515151 ; 8800 
 95 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 7 ; girey ; 700 
 96 ; 5 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF ; 42 ; verunk1 ; 14000 
 97 ; Двойной абаз ; 1832 ; ВК Грузия ; Ag ; VF ; 52 ; нумизмат ; 5000 
 98 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF ; 42 ; toto ; 6324 
 99 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 15 ; crackjack ; 1280 
 100 ; 10 копеек ; 1834 ; СПБ НГ ; Ag ; XF- ; 30 ; Продано в зале ; 6000 
 1 ; Рубль (Петров-10р) ; 1707 ; Н ; Ag ; F-VF ; 35 ; Продано в зале ; 155000 
 2 ; Гривна ; 1709 ; БК ; Ag ; VF ; 45 ; Продано в зале ; 20000 
 3 ; Рубль ; 1718 ; L OK ; Ag ; VF ; 25 ; Продано в зале ; 48000 
 4 ; Рубль (Петров-5р) ; 1720 ; OK ; Ag ; VF ; 19 ; Продано в зале ; 50000 
 5 ; Рубль ; 1721 ; K ; Ag ; VF ; 37 ; Продано в зале ; 28000 
 6 ; Рубль (Петров-5р) ; 1722 ;  ; Ag ; VF- ; 35 ; Продано в зале ; 51000 
 7 ; Полтина (Петров-3р) ; 1722 ;  ; Ag ; F-VF ; 33 ; 27477 ; 18200 
 8 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 26 ; 67 ; 23346 
 9 ; 5 копеек (Петров-2р) ; 1723 ; Дата снизу вверх ; Cu ; VF- ; 21 ; Продано в зале ; 5000 
 10 ; Рубль (Петров-5р). Ремонт гурта 8 часов ; 1725 ; СПБ ; Ag ; VF ; 10 ; Продано в зале ; 55000 
 11 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF- ; 13 ; OMT ; 4080 
 12 ; Рубль (Петров-4р, Ильин-3р) ; 1725 ; СПБ ; Ag ; VF+ ; 21 ; volod ; 25500 
 13 ; Рубль (Петров-3,5р, Ильин-3р) ; 1727 ;  ; Ag ; VF ; 25 ; Продано в зале ; 38000 
 14 ; Рубль (Петров-3р) ; 1727 ;  ; Ag ; VF ; 38 ; Продано в зале ; 23000 
 15 ; Копейка ; 1728 ;  ; Cu ; VF- ; 45 ; Продано в зале ; 4200 
 16 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 25 ; serg2010 ; 24786 
 17 ; Рубль ; 1729 ;  ; Ag ; XF ; 40 ; Продано в зале ; 48000 
 18 ; Рубль ; 1729 ;  ; Ag ; VF ; 52 ; serg2010 ; 22100 
 19 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 32 ; DennisG ; 23799 
 20 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 11 ; Продано в зале ; 20000 
 21 ; Полтина ; 1734 ;  ; Ag ; VF- ; 19 ; 27477 ; 16490 
 22 ; Рубль ; 1735 ;  ; Ag ; XF ; 56 ; Продано в зале ; 34000 
 23 ; Рубль (Ильин-3р, Петров-10 р) ; 1737 ;  ; Ag ; F-VF ; 19 ; Продано в зале ; 27000 
 24 ; Рубль ; 1738 ;  ; Ag ; VF+ ; 36 ; toto ; 16000 
 25 ; Полтина (Петров-3р) ; 1740 ;  ; Ag ; VF+ ; 32 ; Продано в зале ; 17000 
 26 ; Полтина (Петров-5р, Ильин-5р) ; 1740 ; СПБ ; Ag ; VF ; 36 ; _kit ; 22923 
 27 ; Рубль ; 1742 ; СПБ ; Ag ; VF+ ; 28 ; Продано в зале ; 17000 
 28 ; Рубль ; 1745 ; СПБ ; Ag ; XF- ; 32 ; DennisG ; 27234 
 29 ; Рубль ; 1750 ; СПБ ; Ag ; VF+ ; 46 ; 439 ; 17342 
 30 ; Рубль (Петров-3р) ; 1750 ; ММД ; Ag ; VF+ ; 37 ; Продано в зале ; 18000 
 31 ; Рубль (Петров-3р) ; 1752 ; СПБ IM ; Ag ; VF+ ; 38 ; ZOLTAN333 ; 16194 
 32 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; VF-XF ; 23 ; Продано в зале ; 23000 
 33 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; VF-XF ; 50 ; Продано в зале ; 26000 
 34 ; Рубль. М-1,59гр ; 1756 ;  ; Au ; VF-XF ; 56 ; monos72 ; 32143 
 35 ; Рубль (Петров-3р) ; 1756 ; ММД МБ ; Ag ; VF-XF ; 50 ; Продано в зале ; 26000 
 36 ; Рубль (Петров-5р) ; 1757 ; ММД МБ ; Ag ; VF- ; 15 ; volod ; 14270 
 37 ; 2 копейки ; 1758 ;  ; Cu ; F-VF ; 15 ; Продано в зале ; 1900 
 38 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 21 ; Продано в зале ; 4600 
 39 ; Полтина (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF ; 27 ; ANK ; 15302 
 40 ; 2 копейки ; 1762 ;  ; Cu ; F+ ; 42 ; Продано в зале ; 7500 
 41 ; 5 копеек ; 1764 ; ЕМ ; Cu ; VF+ ; 14 ; asT ; 1000 
 42 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF-XF ; 30 ; Продано в зале ; 11000 
 43 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 23 ; Net ; 26000 
 44 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 23 ; Продано в зале ; 8000 
 45 ; Рубль (Петров-3р) ; 1767 ; ММД EI ; Ag ; VF+ ; 33 ; Продано в зале ; 16000 
 46 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 9 ; Продано в зале ; 1300 
 47 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 25 ; girey ; 348 
 48 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF- ; 19 ; якши37 ; 15000 
 49 ; 15 копеек ; 1771 ; ММД ; Ag ; VF+ ; 30 ; 27477 ; 2914 
 50 ; 5 копеек ; 1772 ; ЕМ ; Cu ; VF-XF ; 19 ; timan777 ; 1618 
