 191 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF ; 16 ; Участник № 1179 ; 9000 
 192 ; Копейка ; 1851 ; ЕМ ; Cu ; XF ; 9 ; Участник № 30 ; 2400 
 193 ; Полушка ; 1851 ; ЕМ ; Cu ; XF- ; 13 ; AAE2006 ; 1134 
 194 ; Полтина ; 1852 ; СПБ ПА ; Ag ; XF- ; 21 ; батя ; 5205 
 195 ; 25 копеек ; 1852 ; СПБ ПА ; Ag ; XF ; 35 ; Dss ; 2607 
 196 ; 5 копеек ; 1852 ; ЕМ ; Cu ; VF-XF ; 18 ; Участник № 133 ; 2200 
 197 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 43 ; Участник № 523 ; 1200 
 198 ; 20 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 19 ; tisa66 ; 5555 
 199 ; Копейка ; 1853 ; ВМ ; Cu ; VF+ ; 15 ; Участник № 136 ; 1900 
 200 ; Денежка ; 1853 ; ВМ ; Cu ; VF+ ; 37 ; Участник № 136 ; 1900 
 101 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF+ ; 30 ; boroda ; 9182 
 102 ; 20 копеек ; 1814 ; СПБ ПС ; Ag ; XF- ; 21 ; Участник № 18 ; 2300 
 103 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF- ; 17 ; Kolya-kms ; 4244 
 104 ; Полтина ; 1815 ; СПБ МФ ; Ag ; VF-XF ; 20 ; alex-05 ; 3850 
 105 ; 2 злотых ; 1816 ; IB Польша ; Ag ; XF- ; 27 ; Kolya-kms ; 19141 
 106 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF+ ; 23 ; A.G. ; 9791 
 107 ; Рубль ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 11 ; Kolya-kms ; 4420 
 108 ; Полтина ; 1818 ; СПБ ПС ; Ag ; XF+ ; 16 ; Участник № 42 ; 11500 
 109 ; Полтина ; 1819 ; СПБ ПС ; Ag ; XF ; 41 ; Участник № 135 ; 13000 
 110 ; Рубль ; 1820 ; СПБ ПД ; Ag ; XF ; 26 ; Участник № 30 ; 9000 
 111 ; Рубль ; 1822 ; СПБ ПД ; Ag ; VF-XF ; 21 ; Kolya-kms ; 5310 
 112 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF ; 16 ; w7 ; 5000 
 113 ; 2 копейки ; 1823 ; КМ АМ ; Cu ; VF+ ; 2 ; кабан ; 3333 
 114 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF+ ; 19 ; Участник № 523 ; 220 
 115 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF+ ; 18 ; Участник № 30 ; 17000 
 116 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 17 ; tisa66 ; 5100 
 117 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 16 ; Alexdav ; 4080 
 118 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; AU ; 18 ; 61К ; 7000 
 119 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 9 ; Участник № 523 ; 130 
 120 ; 3 гроша ; 1828 ; FH Польша ; Cu ; VF+ ; 19 ; Dss ; 10000 
 121 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 12 ; Участник № 1177 ; 9500 
 122 ; Полтина ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 51 ; Участник № 462 ; 16000 
 123 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 20 ; leo 2 ; 3468 
 124 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 16 ; TDN ; 2611 
 125 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 28 ; Участник № 1168 ; 6600 
 126 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 32 ; Alexdav ; 8008 
 127 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 26 ; андрейх ; 8159 
 128 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; VF+ ; 13 ; Участник № 9 ; 3200 
 129 ; 20 копеек (Ильин-5р) ; 1830 ; СПБ НГ ; Ag ; VF+ ; 17 ; Alexdav ; 8500 
 130 ; 2 злотых ; 1830 ; FH Польша ; Ag ; XF+ ; 25 ; A.G. ; 31824 
