 32 ; 20 копеек ; 1768 ; СПБ TI ; Ag ; VF ; 14 ; TDN ; 2946 
 33 ; 5 копеек ; 1768 ; ЕМ ; Cu ; VF+ ; 15 ; Участник № 51 ; 4000 
 34 ; 5 копеек ; 1768 ; ЕМ ; Cu ; VF+ ; 6 ; 751 ; 1020 
 35 ; Полушка ; 1768 ; ЕМ ; Cu ; VF ; 3 ; кабан ; 408 
 36 ; Гривенник ; 1770 ; СПБ TI ; Ag ; VF+ ; 24 ; igorf ; 4692 
 37 ; 2 копейки ; 1770 ; КМ "Сибирь" ; Cu ; VF ; 34 ; ZAC ; 3570 
 38 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF+ ; 5 ; finger ; 5100 
 39 ; Полушка (Петров-8р, Ильин-5р) ; 1773 ; ЕМ ; Cu ; VF- ; 7 ; Участник № 51 ; 5200 
 40 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 15 ; igorf ; 6222 
 41 ; 2 копейки ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 70 ; ZAC ; 3806 
 42 ; Денга ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; Director ; 1757 
 43 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; VF ; 10 ; Участник № 51 ; 5500 
 44 ; 5 копеек. Шахин-Гирей 5-ый год правления 1191 л.х. ; 1777 ;  ; Cu ; F-VF ; 12 ; Участник № 222 ; 7000 
 45 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 46 ; 2 копейки ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 45 ; igorf ; 6630 
 47 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 15 ; ZAC ; 3059 
 48 ; Копейка ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 31 ; ZAC ; 3400 
 49 ; 5 копеек (Ильин-3р) ; 1779 ; ЕМ ; Cu ; F-VF ; 37 ; Участник № 402 ; 7200 
 50 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF/VF+ ; 15 ; Участник № 496 ; 4200 
