 26 ; 3 рубля. М-3,91 г ; 1876 ; СПБ НI ; Au ; XF ; 17 ; весенnik ; 81600 
 27 ; 2 рубля. М-3,225 г ; 1756 ;  ; Au ; XF ; 37 ; Продано в зале ; 72000 
 28 ; Рубль. М-1,6 г ; 1757 ;  ; Au ; XF ; 11 ; Продано в зале ; 62000 
 29 ; 1,5 рубля-10 злотых. В капсуле NGC ; 1835 ; НГ Рус.-Пол. ; Ag ; MS 63 ; 39 ; Продано в зале ; 88000 
 30 ; Рубль (Петров-3р) ; 1721 ; K ; Ag ; VF+ ; 70 ; 211345 ; 57834 
 31 ; Рубль ; 1728 ;  ; Ag ; XF- ; 56 ; Продано в зале ; 52000 
 32 ; Рубль ; 1736 ;  ; Ag ; VF-XF ; 70 ; leo 2 ; 26000 
 33 ; Рубль ; 1737 ;  ; Ag ; XF- ; 40 ; zuza ; 17192 
 34 ; Рубль ; 1739 ; СПБ ; Ag ; VF ; 44 ; leo 2 ; 18000 
 35 ; Рубль (Петров-15р, Ильин-12р) ; 1741 ; СПБ ; Ag ; AU ; 35 ; Продано в зале ; 420000 
 36 ; Рубль (Петров-2,5р) ; 1743 ; ММД ; Ag ; XF- ; 23 ; russes ; 21000 
 37 ; Рубль (Петров-3,5р) ; 1746 ; ММД ; Ag ; VF-XF ; 33 ; antonov ; 16000 
 38 ; Рубль ; 1749 ; СПБ ; Ag ; VF+ ; 28 ; Восток ; 12444 
 39 ; Рубль (Петров-4р) ; 1756 ; СПБ ЯI BS ; Ag ; XF/AU ; 33 ; Продано в зале ; 56000 
 40 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 35 ; СВИ ; 11220 
 41 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 12 ; yurbor ; 17511 
 42 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 20 ; Продано в зале ; 18000 
 43 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 16 ; Продано в зале ; 16000 
 44 ; Рубль ; 1820 ; СПБ ПД ; Ag ; XF+ ; 53 ; OMT ; 16000 
 45 ; Рубль ; 1829 ; СПБ НГ ; Ag ; AU ; 45 ; Продано в зале ; 47000 
 46 ; Рубль ; 1847 ; СПБ ПА ; Ag ; XF ; 22 ; taa ; 12546 
 47 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU/XF ; 28 ; volvoinblood ; 62000 
 48 ; Рубль ; 1891 ; (АГ) ; Ag ; AU ; 32 ; Продано в зале ; 80000 
 49 ; Рубль ; 1895 ; (АГ) ; Ag ; VF+ ; 15 ; funcash ; 4386 
 50 ; Рубль ; 1896 ; (АГ) ; Ag ; XF- ; 8 ; Продано в зале ; 5500 
